,Author,Editor,Paper,Affiliation,CompanyUniversity,Decision,Opinion
220,Arnold Schönhage,Isi Mitrani,The Parsing Problem for Affix Grammars.,UDL,University,Accepted,Too much boring.
221,Hans Ulrich Simon,Isi Mitrani,On Efficient Entreeings.,Intel,Company,Denied,Too much boring.
222,Jianwen Su,Isi Mitrani,On Efficient Entreeings.,Intel,Company,Denied,"Nice paper, but not too much interesting."
223,Juha Honkala,Isi Mitrani,On Efficient Entreeings.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
224,Timothy A. Budd,Isi Mitrani,On Efficient Entreeings.,UDL,University,Denied,Nice to know.
225,Norbert Blum,Isi Mitrani,On Efficient Entreeings.,UPC,University,Accepted,Really good.
226,Sandeep Sen,Isi Mitrani,On Efficient Entreeings.,UPC,University,Accepted,"Nice paper, but not too much interesting."
227,Norbert Blum,Isi Mitrani,On Efficient Entreeings.,UPC,University,Denied,Really good.
228,Joachim Biskup,Isi Mitrani,On Efficient Entreeings.,Microsoft,Company,Accepted,Too much boring.
229,Norbert Blum,Jürgen Nehmer,Persistence of Vector Replacement Systems is Decidable.,Microsoft,Company,Accepted,Too much boring.
230,Yoshihide Igarashi,Jürgen Nehmer,Persistence of Vector Replacement Systems is Decidable.,UDL,University,Accepted,Nice to know.
231,Simant Dube,Jürgen Nehmer,Persistence of Vector Replacement Systems is Decidable.,Intel,Company,Denied,Nice to know.
232,Juha Honkala,Patrick Cousot,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,UPC,University,Accepted,"Nice paper, but not too much interesting."
233,Oded Shmueli,Patrick Cousot,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,UPC,University,Accepted,Really good.
234,Juha Honkala,Patrick Cousot,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
235,Francesca Rossi,Patrick Cousot,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Intel,Company,Accepted,Too much boring.
236,Nathan Goodman,Jürgen Nehmer,Functional Behavior in Data Spaces.,Intel,Company,Denied,Too much boring.
237,Sanjeev Saxena,Jürgen Nehmer,Functional Behavior in Data Spaces.,Microsoft,Company,Denied,Nice to know.
238,X. J. Chen,Jürgen Nehmer,Functional Behavior in Data Spaces.,Microsoft,Company,Accepted,Really good.
239,Walter J. Savitch,Isi Mitrani,Inductive Completion with Retracts.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
240,Norbert Blum,Isi Mitrani,Inductive Completion with Retracts.,UPC,University,Denied,Nice to know.
241,Yijie Han,Isi Mitrani,Inductive Completion with Retracts.,UDL,University,Accepted,Too much boring.
242,Ursula Goltz,Isi Mitrani,Inductive Completion with Retracts.,Microsoft,Company,Accepted,Too much boring.
243,Luke Hunsberger,Isi Mitrani,Inductive Completion with Retracts.,UPC,University,Accepted,"Nice paper, but not too much interesting."
244,Antonella Santone,Isi Mitrani,Inductive Completion with Retracts.,UPC,University,Denied,Nice to know.
245,Norbert Blum,George Leih,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,UPC,University,Accepted,Too much boring.
246,Hans Ulrich Simon,George Leih,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Microsoft,Company,Accepted,Too much boring.
247,Robin Milner,Walter J. Savitch,Complete Parameterized Families of Job Scheduling Strategies.,UPC,University,Accepted,Nice to know.
248,Arnold Schönhage,Walter J. Savitch,Complete Parameterized Families of Job Scheduling Strategies.,Intel,Company,Denied,Really good.
249,Hans Ulrich Simon,Walter J. Savitch,Complete Parameterized Families of Job Scheduling Strategies.,UDL,University,Accepted,"Nice paper, but not too much interesting."
250,Simant Dube,Walter J. Savitch,Complete Parameterized Families of Job Scheduling Strategies.,UPC,University,Denied,"Nice paper, but not too much interesting."
251,Oded Shmueli,Karl Meinke,Modelling higher-order dual nondeterminacy.,Microsoft,Company,Denied,Too much boring.
252,Sanjeev Saxena,Karl Meinke,Modelling higher-order dual nondeterminacy.,Microsoft,Company,Accepted,Too much boring.
253,Hans Ulrich Simon,Karl Meinke,Modelling higher-order dual nondeterminacy.,Intel,Company,Accepted,Nice to know.
254,Joachim Biskup,Karl Meinke,Modelling higher-order dual nondeterminacy.,Intel,Company,Denied,Really good.
255,Nathan Goodman,Delphine Longuet,Dispatcher Primitives for the Construction of Operating System Kernels.,Intel,Company,Denied,Too much boring.
256,Juha Honkala,Delphine Longuet,Dispatcher Primitives for the Construction of Operating System Kernels.,UDL,University,Accepted,Really good.
257,Oded Shmueli,George Leih,A Note on Multihead Automata and Context-Sensitive Languages,Microsoft,Company,Denied,Really good.
258,Sanjeev Saxena,George Leih,A Note on Multihead Automata and Context-Sensitive Languages,Intel,Company,Denied,Nice to know.
259,Sanjeev Saxena,George Leih,A Note on Multihead Automata and Context-Sensitive Languages,UDL,University,Denied,Really good.
260,Juha Honkala,George Leih,A Note on Multihead Automata and Context-Sensitive Languages,Intel,Company,Accepted,Really good.
261,Antonella Santone,George Leih,A Note on Multihead Automata and Context-Sensitive Languages,Intel,Company,Denied,Too much boring.
262,Juha Honkala,George Leih,A Note on Multihead Automata and Context-Sensitive Languages,Intel,Company,Denied,"Nice paper, but not too much interesting."
263,Ernst W. Mayr,George Leih,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,UDL,University,Accepted,Nice to know.
264,Yijie Han,George Leih,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
265,Oded Shmueli,Delphine Longuet,Compositional schedulability analysis of real-time actor-based systems.,UPC,University,Accepted,"Nice paper, but not too much interesting."
266,Sergei Gorlatch,Delphine Longuet,Compositional schedulability analysis of real-time actor-based systems.,UPC,University,Accepted,Really good.
267,Oded Shmueli,Delphine Longuet,Compositional schedulability analysis of real-time actor-based systems.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
268,Hans Ulrich Simon,Delphine Longuet,Compositional schedulability analysis of real-time actor-based systems.,UPC,University,Denied,"Nice paper, but not too much interesting."
269,Roland Meyer,Delphine Longuet,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,UDL,University,Denied,"Nice paper, but not too much interesting."
270,Michael Evangelist,Delphine Longuet,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Microsoft,Company,Denied,Too much boring.
271,Oded Shmueli,Delphine Longuet,Worst Case Performance of Weighted Buddy Systems.,Intel,Company,Denied,Nice to know.
272,Hans Ulrich Simon,Delphine Longuet,Worst Case Performance of Weighted Buddy Systems.,UPC,University,Denied,Really good.
273,Yoshihide Igarashi,Delphine Longuet,Worst Case Performance of Weighted Buddy Systems.,Intel,Company,Denied,"Nice paper, but not too much interesting."
274,Prakash Panangaden,Delphine Longuet,Worst Case Performance of Weighted Buddy Systems.,UPC,University,Accepted,"Nice paper, but not too much interesting."
275,Sanjeev Saxena,Karl Meinke,Contextual Nets.,UPC,University,Accepted,"Nice paper, but not too much interesting."
276,Isi Mitrani,Karl Meinke,Contextual Nets.,UDL,University,Accepted,Nice to know.
277,Symeon Bozapalidis,Delphine Longuet,COSY - A System Specification Language Based on Paths and Processes.,UDL,University,Accepted,Too much boring.
278,Manfred P. Stadel,Delphine Longuet,COSY - A System Specification Language Based on Paths and Processes.,Intel,Company,Accepted,Nice to know.
279,Arnold Schönhage,Delphine Longuet,COSY - A System Specification Language Based on Paths and Processes.,Intel,Company,Denied,Really good.
280,Prakash Panangaden,Delphine Longuet,COSY - A System Specification Language Based on Paths and Processes.,Intel,Company,Accepted,Really good.
281,Juha Honkala,George Leih,Applying relation algebra and Rel View to solve problems on orders and lattices.,Intel,Company,Denied,Really good.
282,Joachim Biskup,George Leih,Applying relation algebra and Rel View to solve problems on orders and lattices.,UPC,University,Denied,Really good.
283,Nathan Goodman,George Leih,Applying relation algebra and Rel View to solve problems on orders and lattices.,UDL,University,Denied,Really good.
284,Hans Ulrich Simon,George Leih,Applying relation algebra and Rel View to solve problems on orders and lattices.,UPC,University,Denied,Too much boring.
285,Robin Milner,Delphine Longuet,Eliminating Unit Productions from LR Parsers.,Microsoft,Company,Accepted,Too much boring.
286,Michael Evangelist,Delphine Longuet,Eliminating Unit Productions from LR Parsers.,UPC,University,Denied,Nice to know.
287,Arnold Schönhage,Delphine Longuet,Eliminating Unit Productions from LR Parsers.,Microsoft,Company,Accepted,Too much boring.
288,Juha Honkala,Delphine Longuet,Eliminating Unit Productions from LR Parsers.,UPC,University,Accepted,Really good.
289,Christian Lengauer,Delphine Longuet,Attribute (Re)evaluation in OPTRAN.,Microsoft,Company,Denied,Nice to know.
290,Hans Ulrich Simon,Delphine Longuet,Attribute (Re)evaluation in OPTRAN.,UDL,University,Denied,Nice to know.
291,Juha Honkala,Delphine Longuet,Attribute (Re)evaluation in OPTRAN.,Intel,Company,Denied,Nice to know.
292,Timothy A. Budd,Delphine Longuet,Attribute (Re)evaluation in OPTRAN.,UDL,University,Accepted,Too much boring.
293,J. H. Hine,Delphine Longuet,Attribute (Re)evaluation in OPTRAN.,UPC,University,Accepted,Too much boring.
294,Sanjeev Saxena,Delphine Longuet,Attribute (Re)evaluation in OPTRAN.,Microsoft,Company,Denied,Nice to know.
295,Nathan Goodman,Karl Meinke,On Parallel Integer Sorting.,UDL,University,Accepted,Nice to know.
296,Arnold Schönhage,Karl Meinke,On Parallel Integer Sorting.,UPC,University,Accepted,Too much boring.
297,Sanjeev Saxena,Karl Meinke,Domain Independence and the Relational Calculus.,Microsoft,Company,Denied,Really good.
298,Juha Honkala,Karl Meinke,Domain Independence and the Relational Calculus.,UDL,University,Denied,Really good.
299,Ernst W. Mayr,Karl Meinke,Domain Independence and the Relational Calculus.,Microsoft,Company,Denied,Too much boring.
300,Juha Honkala,Karl Meinke,Domain Independence and the Relational Calculus.,Intel,Company,Denied,Really good.
301,Joachim Biskup,Karl Meinke,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,UDL,University,Accepted,"Nice paper, but not too much interesting."
302,Norbert Blum,Karl Meinke,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Intel,Company,Accepted,Nice to know.
303,Ernst-Rüdiger Olderog,Walter J. Savitch,Bounded Quantification and Relations Recognizable by Finite Automata.,Microsoft,Company,Accepted,Really good.
304,Isi Mitrani,Walter J. Savitch,Bounded Quantification and Relations Recognizable by Finite Automata.,UDL,University,Denied,Too much boring.
305,Nathan Goodman,Walter J. Savitch,Bounded Quantification and Relations Recognizable by Finite Automata.,UDL,University,Accepted,Really good.
306,Oded Shmueli,Delphine Longuet,A Complete Algebraic Characterization of Behavioral Subtyping.,UPC,University,Accepted,"Nice paper, but not too much interesting."
307,Moon-Jung Chung,Delphine Longuet,A Complete Algebraic Characterization of Behavioral Subtyping.,Intel,Company,Accepted,Too much boring.
308,Luke Hunsberger,Delphine Longuet,A Complete Algebraic Characterization of Behavioral Subtyping.,Microsoft,Company,Denied,Really good.
309,Ernst W. Mayr,Karl Meinke,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,UDL,University,Denied,Nice to know.
310,Michael Evangelist,Karl Meinke,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Intel,Company,Denied,Really good.
311,Oded Shmueli,Karl Meinke,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
312,Juha Honkala,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,UDL,University,Denied,"Nice paper, but not too much interesting."
313,Norbert Blum,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,UPC,University,Accepted,Really good.
314,Arnold Schönhage,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Intel,Company,Accepted,Too much boring.
315,Norbert Blum,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Microsoft,Company,Denied,Too much boring.
316,Joachim Biskup,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,UDL,University,Accepted,Really good.
317,Sanjeev Saxena,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Microsoft,Company,Accepted,Too much boring.
318,Sanjeev Saxena,George Leih,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,UDL,University,Accepted,Really good.
319,Oded Shmueli,George Leih,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,UDL,University,Accepted,Nice to know.
320,Sanjeev Saxena,George Leih,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,UDL,University,Accepted,Nice to know.
321,Rob J. van Glabbeek,George Leih,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
322,Hans Ulrich Simon,Karl Meinke,Instruction sequence processing operators.,UPC,University,Denied,Nice to know.
323,Alan Fekete,Karl Meinke,Instruction sequence processing operators.,Microsoft,Company,Accepted,Really good.
324,Ernst W. Mayr,Karl Meinke,Instruction sequence processing operators.,Microsoft,Company,Denied,Nice to know.
325,Nathan Goodman,Walter J. Savitch,What is Failure? An Approach to Constructive Negation.,Intel,Company,Accepted,Too much boring.
326,Timothy A. Budd,Walter J. Savitch,What is Failure? An Approach to Constructive Negation.,Intel,Company,Accepted,Really good.
327,Norbert Blum,George Leih,STG decomposition strategies in combination with unfolding.,UDL,University,Accepted,Really good.
328,Isi Mitrani,George Leih,STG decomposition strategies in combination with unfolding.,UDL,University,Denied,"Nice paper, but not too much interesting."
329,Juha Honkala,George Leih,STG decomposition strategies in combination with unfolding.,UDL,University,Accepted,Too much boring.
330,Arnold Schönhage,George Leih,STG decomposition strategies in combination with unfolding.,UPC,University,Accepted,Nice to know.
331,Sanjeev Saxena,Karl Meinke,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Intel,Company,Denied,Too much boring.
332,Joachim Biskup,Karl Meinke,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
333,X. J. Chen,Delphine Longuet,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,UDL,University,Accepted,"Nice paper, but not too much interesting."
334,Dana Angluin,Delphine Longuet,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,UDL,University,Accepted,Really good.
335,Zoltán Fülöp 0001,Delphine Longuet,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,UDL,University,Accepted,Nice to know.
336,Norbert Blum,Delphine Longuet,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,UDL,University,Accepted,Nice to know.
337,X. J. Chen,Karl Meinke,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Microsoft,Company,Accepted,Too much boring.
338,Dana Angluin,Karl Meinke,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Microsoft,Company,Denied,Nice to know.
339,Sergei Gorlatch,Karl Meinke,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,UPC,University,Denied,"Nice paper, but not too much interesting."
340,Nathan Goodman,Karl Meinke,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Intel,Company,Denied,Too much boring.
341,Hans Ulrich Simon,Karl Meinke,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,UDL,University,Accepted,Really good.
342,Nathan Goodman,Karl Meinke,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,UDL,University,Denied,Really good.
343,Norbert Blum,Karl Meinke,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Microsoft,Company,Denied,Really good.
344,Oded Shmueli,Karl Meinke,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,UPC,University,Accepted,Too much boring.
345,Hans Ulrich Simon,Walter J. Savitch,Probabilistic bisimulation for realistic schedulers.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
346,Simant Dube,Walter J. Savitch,Probabilistic bisimulation for realistic schedulers.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
347,Yoshihide Igarashi,Walter J. Savitch,Explaining the Wheel Sieve.,UDL,University,Accepted,Too much boring.
348,Hans Ulrich Simon,Walter J. Savitch,Explaining the Wheel Sieve.,UDL,University,Accepted,"Nice paper, but not too much interesting."
349,Oded Shmueli,Walter J. Savitch,Explaining the Wheel Sieve.,Intel,Company,Accepted,Really good.
350,Norbert Blum,Walter J. Savitch,Explaining the Wheel Sieve.,UPC,University,Denied,"Nice paper, but not too much interesting."
351,Manfred P. Stadel,Walter J. Savitch,Explaining the Wheel Sieve.,Microsoft,Company,Denied,Nice to know.
352,Hans Ulrich Simon,Walter J. Savitch,Explaining the Wheel Sieve.,UDL,University,Accepted,Nice to know.
353,J. H. Hine,Walter J. Savitch,Explaining the Wheel Sieve.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
354,Sanjeev Saxena,George Leih,Another Polynomial Homomorphism.,UPC,University,Denied,Really good.
355,Oded Shmueli,George Leih,Another Polynomial Homomorphism.,Microsoft,Company,Denied,Really good.
356,Norbert Blum,George Leih,Another Polynomial Homomorphism.,UPC,University,Denied,Really good.
357,Hans Ulrich Simon,George Leih,Variance Reduction Techniques for the Simulation of Markov Process.,Microsoft,Company,Accepted,Nice to know.
358,Oded Shmueli,George Leih,Variance Reduction Techniques for the Simulation of Markov Process.,UDL,University,Denied,Nice to know.
359,Hans Ulrich Simon,George Leih,Variance Reduction Techniques for the Simulation of Markov Process.,UPC,University,Denied,Nice to know.
360,Norbert Blum,Karl Meinke,State complexity of deletion and bipolar deletion.,UPC,University,Denied,Really good.
361,George Rahonis,Karl Meinke,State complexity of deletion and bipolar deletion.,UDL,University,Denied,Too much boring.
362,Hans Ulrich Simon,Karl Meinke,State complexity of deletion and bipolar deletion.,Intel,Company,Denied,Really good.
363,Ivan Hal Sudborough,Karl Meinke,State complexity of deletion and bipolar deletion.,Microsoft,Company,Denied,Really good.
364,Nathan Goodman,Walter J. Savitch,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,UDL,University,Accepted,Too much boring.
365,Hans Ulrich Simon,Walter J. Savitch,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Microsoft,Company,Denied,Really good.
366,Arnold Schönhage,Walter J. Savitch,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,UDL,University,Denied,Too much boring.
367,Erzsébet Csuhaj-Varjú,Walter J. Savitch,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
368,Hans Ulrich Simon,Walter J. Savitch,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,UPC,University,Denied,"Nice paper, but not too much interesting."
369,Luc Devroye,Delphine Longuet,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,UPC,University,Denied,Nice to know.
370,Nathan Goodman,Delphine Longuet,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Intel,Company,Accepted,Nice to know.
371,Juha Honkala,Delphine Longuet,Regular and context-free nominal traces.,UPC,University,Denied,Too much boring.
372,Hans Ulrich Simon,Delphine Longuet,Regular and context-free nominal traces.,Microsoft,Company,Accepted,Nice to know.
373,John K. Lee,Delphine Longuet,Regular and context-free nominal traces.,Microsoft,Company,Accepted,Really good.
374,Juha Honkala,Karl Meinke,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,UPC,University,Accepted,Too much boring.
375,Simant Dube,Karl Meinke,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,UPC,University,Denied,Nice to know.
376,Hans Ulrich Simon,Karl Meinke,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,UDL,University,Denied,Too much boring.
377,Yijie Han,Karl Meinke,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Intel,Company,Accepted,Really good.
378,Oded Shmueli,Walter J. Savitch,Special issue: Synthesis and SYNT 2014.,UDL,University,Accepted,"Nice paper, but not too much interesting."
379,Timothy A. Budd,Walter J. Savitch,Special issue: Synthesis and SYNT 2014.,Microsoft,Company,Accepted,Really good.
380,David A. Watt,Walter J. Savitch,On the Synchronization in Parallel Communicating Grammar Systems.,UDL,University,Denied,Really good.
381,Oded Shmueli,Walter J. Savitch,On the Synchronization in Parallel Communicating Grammar Systems.,Intel,Company,Accepted,Too much boring.
382,Nathan Goodman,Walter J. Savitch,On the Synchronization in Parallel Communicating Grammar Systems.,Microsoft,Company,Accepted,Nice to know.
383,Norbert Blum,Karl Meinke,Weakly Context-Sensitive Languages as Model for Programming Languages.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
384,David A. Watt,Karl Meinke,Weakly Context-Sensitive Languages as Model for Programming Languages.,UDL,University,Accepted,"Nice paper, but not too much interesting."
385,Arnold Schönhage,Karl Meinke,Weakly Context-Sensitive Languages as Model for Programming Languages.,UPC,University,Accepted,Too much boring.
386,Juha Honkala,George Leih,Rules of Inference for Procedure Calls.,Microsoft,Company,Accepted,Too much boring.
387,Nathan Goodman,George Leih,Rules of Inference for Procedure Calls.,UDL,University,Accepted,Too much boring.
388,Norbert Blum,George Leih,Rules of Inference for Procedure Calls.,UPC,University,Accepted,"Nice paper, but not too much interesting."
389,Oded Shmueli,George Leih,Rules of Inference for Procedure Calls.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
390,Nathan Goodman,Karl Meinke,The Construction of Operator Interfaces Based on Logical Input Devices.,UPC,University,Accepted,Really good.
391,Juha Honkala,Karl Meinke,The Construction of Operator Interfaces Based on Logical Input Devices.,UPC,University,Accepted,"Nice paper, but not too much interesting."
392,Hans Ulrich Simon,Karl Meinke,The Construction of Operator Interfaces Based on Logical Input Devices.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
393,Victor Mitrana,Karl Meinke,The Construction of Operator Interfaces Based on Logical Input Devices.,UDL,University,Denied,"Nice paper, but not too much interesting."
394,Juha Honkala,Karl Meinke,The Construction of Operator Interfaces Based on Logical Input Devices.,UDL,University,Denied,"Nice paper, but not too much interesting."
395,Yijie Han,Karl Meinke,The Construction of Operator Interfaces Based on Logical Input Devices.,Microsoft,Company,Denied,Really good.
396,Robin Milner,Karl Meinke,The Construction of Operator Interfaces Based on Logical Input Devices.,Microsoft,Company,Accepted,Nice to know.
397,Nathan Goodman,Walter J. Savitch,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
398,Ivan Hal Sudborough,Walter J. Savitch,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,UPC,University,Denied,Nice to know.
399,Gary T. Leavens,Walter J. Savitch,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Microsoft,Company,Denied,Nice to know.
400,Moon-Jung Chung,Walter J. Savitch,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,UPC,University,Denied,Really good.
401,Christian Lengauer,Walter J. Savitch,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,UDL,University,Denied,"Nice paper, but not too much interesting."
402,Sanjeev Saxena,Walter J. Savitch,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Microsoft,Company,Denied,Nice to know.
403,Juha Honkala,Walter J. Savitch,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Microsoft,Company,Denied,Too much boring.
404,Norbert Blum,Walter J. Savitch,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,UDL,University,Denied,"Nice paper, but not too much interesting."
405,Sanjeev Saxena,Walter J. Savitch,Gobang ist PSPACE-vollständig.,UDL,University,Denied,Really good.
406,Norbert Blum,Walter J. Savitch,Gobang ist PSPACE-vollständig.,UPC,University,Accepted,Really good.
407,Joachim Biskup,Walter J. Savitch,Gobang ist PSPACE-vollständig.,UPC,University,Accepted,Really good.
408,Oded Shmueli,George Leih,A note on autodense related languages.,UDL,University,Denied,Nice to know.
409,Ivan Hal Sudborough,George Leih,A note on autodense related languages.,UPC,University,Accepted,Nice to know.
410,Arnold Schönhage,George Leih,A note on autodense related languages.,UPC,University,Accepted,Nice to know.
411,Antonella Santone,George Leih,A note on autodense related languages.,UDL,University,Denied,Too much boring.
412,Sanguthevar Rajasekaran,Walter J. Savitch,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
413,Isi Mitrani,Walter J. Savitch,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,UPC,University,Accepted,Too much boring.
414,Juha Honkala,George Leih,Optimizing the Costs of Hierarchical Quorum Consensus.,Microsoft,Company,Denied,Nice to know.
415,Ivan Hal Sudborough,George Leih,Optimizing the Costs of Hierarchical Quorum Consensus.,UPC,University,Accepted,Really good.
416,Dana Angluin,Delphine Longuet,Recursive Petri nets.,Microsoft,Company,Accepted,Too much boring.
417,Nathan Goodman,Delphine Longuet,Recursive Petri nets.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
418,Yoshihide Igarashi,Delphine Longuet,Recursive Petri nets.,Intel,Company,Accepted,Too much boring.
419,Hans Ulrich Simon,Delphine Longuet,Multitype Multiprogramming Models.,UPC,University,Accepted,Too much boring.
420,Robin Milner,Delphine Longuet,Multitype Multiprogramming Models.,Intel,Company,Accepted,Nice to know.
421,Victor Mitrana,Delphine Longuet,Multitype Multiprogramming Models.,Microsoft,Company,Denied,Too much boring.
422,Hans Ulrich Simon,Karl Meinke,Automatic Correction of Syntax-Errors in Programming Languages.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
423,John Darlington,Karl Meinke,Automatic Correction of Syntax-Errors in Programming Languages.,Intel,Company,Denied,"Nice paper, but not too much interesting."
424,Annie Choquet,Karl Meinke,Automatic Correction of Syntax-Errors in Programming Languages.,UPC,University,Denied,Really good.
425,Hans Ulrich Simon,Karl Meinke,Automatic Correction of Syntax-Errors in Programming Languages.,UPC,University,Denied,Really good.
426,Isi Mitrani,Delphine Longuet,Representation and uniformization of algebraic transductions.,UPC,University,Accepted,Nice to know.
427,Norbert Blum,Delphine Longuet,Representation and uniformization of algebraic transductions.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
428,Juha Honkala,Delphine Longuet,Representation and uniformization of algebraic transductions.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
429,Robin Milner,Delphine Longuet,Representation and uniformization of algebraic transductions.,UPC,University,Accepted,Nice to know.
430,Sandeep Sen,Karl Meinke,Concurrent Bisimulations in Petri Nets.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
431,Nathan Goodman,Karl Meinke,Concurrent Bisimulations in Petri Nets.,UDL,University,Accepted,"Nice paper, but not too much interesting."
432,Oded Shmueli,Karl Meinke,Concurrent Bisimulations in Petri Nets.,Microsoft,Company,Denied,Really good.
433,Juha Honkala,Karl Meinke,Concurrent Bisimulations in Petri Nets.,UPC,University,Accepted,"Nice paper, but not too much interesting."
434,Oded Shmueli,Karl Meinke,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Microsoft,Company,Accepted,Really good.
435,Jianwen Su,Karl Meinke,Enhanced prefetching and caching strategies for single- and multi-disk systems.,UDL,University,Accepted,"Nice paper, but not too much interesting."
436,Nathan Goodman,Karl Meinke,Enhanced prefetching and caching strategies for single- and multi-disk systems.,UDL,University,Denied,Really good.
437,Hans Ulrich Simon,Karl Meinke,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
438,Nathan Goodman,Walter J. Savitch,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Microsoft,Company,Denied,Nice to know.
