,paper,reference
280,Probabilistic bisimulation for realistic schedulers.,Gobang ist PSPACE-vollständig.
281,Probabilistic bisimulation for realistic schedulers.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
282,Probabilistic bisimulation for realistic schedulers.,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages."
283,Probabilistic bisimulation for realistic schedulers.,Type-based information flow analysis for the pi-calculus.
284,Probabilistic bisimulation for realistic schedulers.,Context-Free Graph Grammars and Concatenation of Graphs.
285,Probabilistic bisimulation for realistic schedulers.,Algorithms for Fast Evaluation of Boolean Expressions.
286,Probabilistic bisimulation for realistic schedulers.,A Comparison of Two Synchronizing Concepts.
287,Probabilistic bisimulation for realistic schedulers.,The Derivation of Systolic Implementations of Programs.
288,Probabilistic bisimulation for realistic schedulers.,Calculi for Interaction.
289,Probabilistic bisimulation for realistic schedulers.,Gray visiting Motzkins.
290,Probabilistic bisimulation for realistic schedulers.,Branching Processes in the Analysis of the Heights of Trees.
291,Probabilistic bisimulation for realistic schedulers.,Automatic verification of concurrent systems using a formula-based compositional approach.
292,Probabilistic bisimulation for realistic schedulers.,On Removing the Machine from the Language.
293,Probabilistic bisimulation for realistic schedulers.,Complete Problems for Space Bounded Subclasses of NP.
294,Explaining the Wheel Sieve.,Explaining the Wheel Sieve.
295,Explaining the Wheel Sieve.,Data Encodings and Their Costs.
296,Explaining the Wheel Sieve.,Context-Free Graph Grammars and Concatenation of Graphs.
297,Explaining the Wheel Sieve.,Fifo Nets Without Order Deadlock.
298,Explaining the Wheel Sieve.,The Expressive Power of Delay Operators in SCCS.
299,Explaining the Wheel Sieve.,Branching Processes in the Analysis of the Heights of Trees.
300,Another Polynomial Homomorphism.,Instruction sequence processing operators.
301,Another Polynomial Homomorphism.,STG decomposition strategies in combination with unfolding.
302,Another Polynomial Homomorphism.,Optimizing the Costs of Hierarchical Quorum Consensus.
303,Another Polynomial Homomorphism.,A Conservation Law for G/G/m Queueing Systems.
304,Another Polynomial Homomorphism.,Fifo Nets Without Order Deadlock.
305,Variance Reduction Techniques for the Simulation of Markov Process.,Regular and context-free nominal traces.
306,Variance Reduction Techniques for the Simulation of Markov Process.,A theory of formal synthesis via inductive learning.
307,Variance Reduction Techniques for the Simulation of Markov Process.,Algorithms for Fast Evaluation of Boolean Expressions.
308,Variance Reduction Techniques for the Simulation of Markov Process.,Maintaining Range Trees in Secondary Memory. Part I: Partitions.
309,State complexity of deletion and bipolar deletion.,Instruction sequence processing operators.
310,State complexity of deletion and bipolar deletion.,Explaining the Wheel Sieve.
311,State complexity of deletion and bipolar deletion.,Recursive Petri nets.
312,State complexity of deletion and bipolar deletion.,Concurrent Bisimulations in Petri Nets.
313,State complexity of deletion and bipolar deletion.,Program Refinement in Fair Transition Systems.
314,State complexity of deletion and bipolar deletion.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
315,State complexity of deletion and bipolar deletion.,Sur une Conjecture de S. Greibach.
316,State complexity of deletion and bipolar deletion.,Recognizability of graph and pattern languages.
317,State complexity of deletion and bipolar deletion.,NP-complete Problems Simplified on Tree Schemas.
318,State complexity of deletion and bipolar deletion.,The Expressive Power of Delay Operators in SCCS.
319,State complexity of deletion and bipolar deletion.,A Workload Model Representative of Static and Dynamic Characteristics.
320,State complexity of deletion and bipolar deletion.,Two Notions of Correctness and Their Relation to Testing.
321,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
322,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Quad Trees: A Data Structure for Retrieval on Composite Keys.
323,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Another Polynomial Homomorphism.
324,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Automatic Correction of Syntax-Errors in Programming Languages.
325,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Algorithms for Fast Evaluation of Boolean Expressions.
326,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,On regular tree languages and deterministic pushdown automata.
327,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Maintaining Range Trees in Secondary Memory. Part I: Partitions.
328,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Reasoning Algebraically about Loops.
329,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.
330,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Trace Nets and Process Automata.
331,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Metric propositional neighborhood logic with an equivalence relation.
332,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
333,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,"Invariants, Composition, and Substitution."
334,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Inductive Completion with Retracts.
335,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Domain Independence and the Relational Calculus.
336,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Instruction sequence processing operators.
337,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.
338,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Special issue: Synthesis and SYNT 2014.
339,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Program Refinement in Fair Transition Systems.
340,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
341,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,A theory of formal synthesis via inductive learning.
342,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Context-Free Graph Grammars and Concatenation of Graphs.
343,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Algorithms for Fast Evaluation of Boolean Expressions.
344,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,On weighted first-order logics with discounting.
345,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,"Invariants, Composition, and Substitution."
346,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,A Note on the Density of Inherently Ambiguous Context-free Languages.
347,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
348,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Inductive Completion with Retracts.
349,Regular and context-free nominal traces.,Another Polynomial Homomorphism.
350,Regular and context-free nominal traces.,Does indirect addressing matter? - A note.
351,Regular and context-free nominal traces.,Relational structures model of concurrency.
352,Regular and context-free nominal traces.,Automatic verification of concurrent systems using a formula-based compositional approach.
353,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Instruction sequence processing operators.
354,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Enhanced prefetching and caching strategies for single- and multi-disk systems.
355,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,"Invariants, Composition, and Substitution."
356,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,On Efficient Entreeings.
357,Special issue: Synthesis and SYNT 2014.,A Note on Multihead Automata and Context-Sensitive Languages
358,Special issue: Synthesis and SYNT 2014.,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.
359,Special issue: Synthesis and SYNT 2014.,Eliminating Unit Productions from LR Parsers.
360,Special issue: Synthesis and SYNT 2014.,Domain Independence and the Relational Calculus.
361,Special issue: Synthesis and SYNT 2014.,Enhanced prefetching and caching strategies for single- and multi-disk systems.
362,Special issue: Synthesis and SYNT 2014.,On the Look-Ahead Problem in Lexical Analysis.
363,Special issue: Synthesis and SYNT 2014.,A general account of coinduction up-to.
364,Special issue: Synthesis and SYNT 2014.,A Comparison of Two Synchronizing Concepts.
365,Special issue: Synthesis and SYNT 2014.,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems."
366,Special issue: Synthesis and SYNT 2014.,Best Huffman Trees.
367,On the Synchronization in Parallel Communicating Grammar Systems.,Eliminating Unit Productions from LR Parsers.
368,On the Synchronization in Parallel Communicating Grammar Systems.,STG decomposition strategies in combination with unfolding.
369,On the Synchronization in Parallel Communicating Grammar Systems.,Variance Reduction Techniques for the Simulation of Markov Process.
370,On the Synchronization in Parallel Communicating Grammar Systems.,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
371,On the Synchronization in Parallel Communicating Grammar Systems.,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.
372,On the Synchronization in Parallel Communicating Grammar Systems.,On the Synchronization in Parallel Communicating Grammar Systems.
373,On the Synchronization in Parallel Communicating Grammar Systems.,Recursive Petri nets.
374,On the Synchronization in Parallel Communicating Grammar Systems.,On weighted first-order logics with discounting.
375,On the Synchronization in Parallel Communicating Grammar Systems.,Modeling Splits in File Structures.
376,On the Synchronization in Parallel Communicating Grammar Systems.,Pattern Matching in Trees and Nets.
377,On the Synchronization in Parallel Communicating Grammar Systems.,The Derivation of Systolic Implementations of Programs.
378,On the Synchronization in Parallel Communicating Grammar Systems.,Fifo Nets Without Order Deadlock.
379,On the Synchronization in Parallel Communicating Grammar Systems.,Equational weighted tree transformations.
380,On the Synchronization in Parallel Communicating Grammar Systems.,A theory of structural stationarity in the 
381,On the Synchronization in Parallel Communicating Grammar Systems.,On Efficient Entreeings.
382,On the Synchronization in Parallel Communicating Grammar Systems.,Inductive Completion with Retracts.
383,Weakly Context-Sensitive Languages as Model for Programming Languages.,Instruction sequence processing operators.
384,Weakly Context-Sensitive Languages as Model for Programming Languages.,Sur une Conjecture de S. Greibach.
385,Weakly Context-Sensitive Languages as Model for Programming Languages.,A Conservation Law for G/G/m Queueing Systems.
386,Weakly Context-Sensitive Languages as Model for Programming Languages.,Algorithms for Fast Evaluation of Boolean Expressions.
387,Weakly Context-Sensitive Languages as Model for Programming Languages.,Fifo Nets Without Order Deadlock.
388,Weakly Context-Sensitive Languages as Model for Programming Languages.,Automatic verification of concurrent systems using a formula-based compositional approach.
389,Rules of Inference for Procedure Calls.,Behavioural Approaches to Algebraic Specifications: A Comparative Study.
390,Rules of Inference for Procedure Calls.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
391,Rules of Inference for Procedure Calls.,A Conservation Law for G/G/m Queueing Systems.
392,Rules of Inference for Procedure Calls.,Algorithms for Fast Evaluation of Boolean Expressions.
393,Rules of Inference for Procedure Calls.,A general account of coinduction up-to.
394,Rules of Inference for Procedure Calls.,How to Calculate Symmetries of Petri Nets.
395,Rules of Inference for Procedure Calls.,NP-complete Problems Simplified on Tree Schemas.
396,Rules of Inference for Procedure Calls.,Fifo Nets Without Order Deadlock.
397,The Construction of Operator Interfaces Based on Logical Input Devices.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
398,The Construction of Operator Interfaces Based on Logical Input Devices.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
399,The Construction of Operator Interfaces Based on Logical Input Devices.,Sur une Conjecture de S. Greibach.
400,The Construction of Operator Interfaces Based on Logical Input Devices.,An Efficiency Preorder for Processes.
401,The Construction of Operator Interfaces Based on Logical Input Devices.,Fifo Nets Without Order Deadlock.
402,The Construction of Operator Interfaces Based on Logical Input Devices.,A Three-Stage Construction for Multiconnection Networks.
403,The Construction of Operator Interfaces Based on Logical Input Devices.,Two Notions of Correctness and Their Relation to Testing.
404,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.
405,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Another Polynomial Homomorphism.
406,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Automatic Correction of Syntax-Errors in Programming Languages.
407,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.
408,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.
409,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,On regular tree languages and deterministic pushdown automata.
410,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,A Modal Logic for Message Passing Processes.
411,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Does indirect addressing matter? - A note.
412,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,A Synthesis of Several Sorting Algorithms.
413,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Branching Processes in the Analysis of the Heights of Trees.
414,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
415,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
416,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Best Huffman Trees.
417,Gobang ist PSPACE-vollständig.,Weakly Context-Sensitive Languages as Model for Programming Languages.
418,Gobang ist PSPACE-vollständig.,Automatic Correction of Syntax-Errors in Programming Languages.
419,Gobang ist PSPACE-vollständig.,The Expressive Power of Delay Operators in SCCS.
420,Gobang ist PSPACE-vollständig.,On Removing the Machine from the Language.
421,A note on autodense related languages.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
422,A note on autodense related languages.,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.
423,A note on autodense related languages.,Weakly Context-Sensitive Languages as Model for Programming Languages.
424,A note on autodense related languages.,The Clean Termination of Iterative Programs.
425,A note on autodense related languages.,On the Look-Ahead Problem in Lexical Analysis.
426,A note on autodense related languages.,How to Calculate Symmetries of Petri Nets.
427,A note on autodense related languages.,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems."
428,A note on autodense related languages.,Recognizability of graph and pattern languages.
429,A note on autodense related languages.,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
430,A note on autodense related languages.,Equational weighted tree transformations.
431,A note on autodense related languages.,A Workload Model Representative of Static and Dynamic Characteristics.
432,A note on autodense related languages.,Least Upper Bound on the Cost of Optimum Binary Search Trees.
433,A note on autodense related languages.,On an Equivalence between Continuation and Stack Semantics.
434,A note on autodense related languages.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
435,A note on autodense related languages.,Automatic verification of concurrent systems using a formula-based compositional approach.
436,A note on autodense related languages.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
437,A note on autodense related languages.,On Efficient Entreeings.
438,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Domain Independence and the Relational Calculus.
439,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
440,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.
441,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Regular and context-free nominal traces.
442,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Recursive Petri nets.
443,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,On a Class of Recursive Procedures and Equivalent Iterative Ones.
444,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,An Efficiency Preorder for Processes.
445,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.
446,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Synchronized regular expressions.
447,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Does indirect addressing matter? - A note.
448,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
449,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
450,Optimizing the Costs of Hierarchical Quorum Consensus.,Weakly Context-Sensitive Languages as Model for Programming Languages.
451,Optimizing the Costs of Hierarchical Quorum Consensus.,The Synthesis Problem of Petri Nets.
452,Optimizing the Costs of Hierarchical Quorum Consensus.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
453,Optimizing the Costs of Hierarchical Quorum Consensus.,A theory of structural stationarity in the 
454,Optimizing the Costs of Hierarchical Quorum Consensus.,Best Huffman Trees.
455,Recursive Petri nets.,Gobang ist PSPACE-vollständig.
456,Recursive Petri nets.,Program Refinement in Fair Transition Systems.
457,Recursive Petri nets.,The Expressive Power of Delay Operators in SCCS.
458,Recursive Petri nets.,A theory of structural stationarity in the 
459,Recursive Petri nets.,Best Huffman Trees.
460,Multitype Multiprogramming Models.,Eliminating Unit Productions from LR Parsers.
461,Multitype Multiprogramming Models.,Bounded Quantification and Relations Recognizable by Finite Automata.
462,Multitype Multiprogramming Models.,Instruction sequence processing operators.
463,Multitype Multiprogramming Models.,Recursive Petri nets.
464,Multitype Multiprogramming Models.,Data Encodings and Their Costs.
465,Multitype Multiprogramming Models.,Context-Free Graph Grammars and Concatenation of Graphs.
466,Multitype Multiprogramming Models.,Synchronized regular expressions.
467,Multitype Multiprogramming Models.,Trace Nets and Process Automata.
468,Multitype Multiprogramming Models.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
469,Multitype Multiprogramming Models.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
470,Multitype Multiprogramming Models.,Relational structures model of concurrency.
471,Multitype Multiprogramming Models.,Automatic verification of concurrent systems using a formula-based compositional approach.
472,Automatic Correction of Syntax-Errors in Programming Languages.,A general account of coinduction up-to.
473,Automatic Correction of Syntax-Errors in Programming Languages.,On regular tree languages and deterministic pushdown automata.
474,Automatic Correction of Syntax-Errors in Programming Languages.,A Modal Logic for Message Passing Processes.
475,Automatic Correction of Syntax-Errors in Programming Languages.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
476,Representation and uniformization of algebraic transductions.,Bounded Quantification and Relations Recognizable by Finite Automata.
477,Representation and uniformization of algebraic transductions.,Weakly Context-Sensitive Languages as Model for Programming Languages.
478,Representation and uniformization of algebraic transductions.,Gobang ist PSPACE-vollständig.
479,Representation and uniformization of algebraic transductions.,Enhanced prefetching and caching strategies for single- and multi-disk systems.
480,Representation and uniformization of algebraic transductions.,A theory of formal synthesis via inductive learning.
481,Representation and uniformization of algebraic transductions.,"Demonic, angelic and unbounded probabilistic choices in sequential programs."
482,Representation and uniformization of algebraic transductions.,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.
483,Representation and uniformization of algebraic transductions.,Computational Algorithms for Networks of Queues with Rejection Blocking.
484,Representation and uniformization of algebraic transductions.,Automatic verification of concurrent systems using a formula-based compositional approach.
485,Representation and uniformization of algebraic transductions.,On Removing the Machine from the Language.
486,Representation and uniformization of algebraic transductions.,Best Huffman Trees.
487,Concurrent Bisimulations in Petri Nets.,Contextual Nets.
488,Concurrent Bisimulations in Petri Nets.,COSY - A System Specification Language Based on Paths and Processes.
489,Concurrent Bisimulations in Petri Nets.,Weakly Context-Sensitive Languages as Model for Programming Languages.
490,Concurrent Bisimulations in Petri Nets.,Multitype Multiprogramming Models.
491,Concurrent Bisimulations in Petri Nets.,Representation and uniformization of algebraic transductions.
492,Concurrent Bisimulations in Petri Nets.,Data Encodings and Their Costs.
493,Concurrent Bisimulations in Petri Nets.,Sur une Conjecture de S. Greibach.
494,Concurrent Bisimulations in Petri Nets.,Context-Free Graph Grammars and Concatenation of Graphs.
495,Concurrent Bisimulations in Petri Nets.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
496,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Eliminating Unit Productions from LR Parsers.
497,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Instruction sequence processing operators.
498,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
499,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Automatic Correction of Syntax-Errors in Programming Languages.
500,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Sur une Conjecture de S. Greibach.
501,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems."
502,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,A Three-Stage Construction for Multiconnection Networks.
503,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,On an Equivalence between Continuation and Stack Semantics.
504,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,A Note on the Density of Inherently Ambiguous Context-free Languages.
505,State space axioms for T-systems.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
506,Extended multi bottom-up tree transducers.,Complete Parameterized Families of Job Scheduling Strategies.
507,Extended multi bottom-up tree transducers.,Another Polynomial Homomorphism.
508,Extended multi bottom-up tree transducers.,Weakly Context-Sensitive Languages as Model for Programming Languages.
509,Extended multi bottom-up tree transducers.,Rules of Inference for Procedure Calls.
510,Extended multi bottom-up tree transducers.,Gobang ist PSPACE-vollständig.
511,Extended multi bottom-up tree transducers.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
512,Extended multi bottom-up tree transducers.,Infinite Proof Rules for Loops.
513,Extended multi bottom-up tree transducers.,Data Refinement by Calculation.
514,Extended multi bottom-up tree transducers.,Algorithms for Fast Evaluation of Boolean Expressions.
515,Extended multi bottom-up tree transducers.,On regular tree languages and deterministic pushdown automata.
516,Extended multi bottom-up tree transducers.,Branching Processes in the Analysis of the Heights of Trees.
517,Extended multi bottom-up tree transducers.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
518,Extended multi bottom-up tree transducers.,Relational structures model of concurrency.
519,Extended multi bottom-up tree transducers.,A Note on the Density of Inherently Ambiguous Context-free Languages.
520,Extended multi bottom-up tree transducers.,Computational Algorithms for Networks of Queues with Rejection Blocking.
521,Extended multi bottom-up tree transducers.,Automatic verification of concurrent systems using a formula-based compositional approach.
522,Extended multi bottom-up tree transducers.,On Removing the Machine from the Language.
523,The Clean Termination of Iterative Programs.,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.
524,The Clean Termination of Iterative Programs.,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.
525,The Clean Termination of Iterative Programs.,Rules of Inference for Procedure Calls.
526,The Clean Termination of Iterative Programs.,The Construction of Operator Interfaces Based on Logical Input Devices.
527,The Clean Termination of Iterative Programs.,Recursive Petri nets.
528,The Clean Termination of Iterative Programs.,A Conservation Law for G/G/m Queueing Systems.
529,The Clean Termination of Iterative Programs.,On a Class of Recursive Procedures and Equivalent Iterative Ones.
530,The Clean Termination of Iterative Programs.,A Synthesis of Several Sorting Algorithms.
531,Infinite Proof Rules for Loops.,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.
532,Infinite Proof Rules for Loops.,Bounded Quantification and Relations Recognizable by Finite Automata.
533,Infinite Proof Rules for Loops.,Rules of Inference for Procedure Calls.
534,Infinite Proof Rules for Loops.,Concurrent Bisimulations in Petri Nets.
535,Infinite Proof Rules for Loops.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
536,Infinite Proof Rules for Loops.,"Running a job on a collection of partly available machines, with on-line restarts."
537,Infinite Proof Rules for Loops.,Data Refinement by Calculation.
538,Infinite Proof Rules for Loops.,A Conservation Law for G/G/m Queueing Systems.
539,Infinite Proof Rules for Loops.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
540,Infinite Proof Rules for Loops.,On regular tree languages and deterministic pushdown automata.
541,Infinite Proof Rules for Loops.,Does indirect addressing matter? - A note.
542,Infinite Proof Rules for Loops.,Pattern Matching in Trees and Nets.
543,Infinite Proof Rules for Loops.,Branching Processes in the Analysis of the Heights of Trees.
544,Infinite Proof Rules for Loops.,"Invariants, Composition, and Substitution."
545,Infinite Proof Rules for Loops.,Relational structures model of concurrency.
546,Infinite Proof Rules for Loops.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
547,Infinite Proof Rules for Loops.,Inductive Completion with Retracts.
548,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Instruction sequence processing operators.
549,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,STG decomposition strategies in combination with unfolding.
550,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Multitype Multiprogramming Models.
551,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,State space axioms for T-systems.
552,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
553,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Type-based information flow analysis for the pi-calculus.
554,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,An Efficiency Preorder for Processes.
555,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Least Upper Bound on the Cost of Optimum Binary Search Trees.
556,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
557,"Running a job on a collection of partly available machines, with on-line restarts.",A Recursive Second Order Initial Algebra Specification of Primitive Recursion.
558,"Running a job on a collection of partly available machines, with on-line restarts.",Eliminating Unit Productions from LR Parsers.
559,"Running a job on a collection of partly available machines, with on-line restarts.",A Three-Stage Construction for Multiconnection Networks.
560,"Running a job on a collection of partly available machines, with on-line restarts.",On Removing the Machine from the Language.
561,"Running a job on a collection of partly available machines, with on-line restarts.",Complete Problems for Space Bounded Subclasses of NP.
562,"Running a job on a collection of partly available machines, with on-line restarts.",Best Huffman Trees.
563,Data Refinement by Calculation.,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.
564,Data Refinement by Calculation.,Bounded Quantification and Relations Recognizable by Finite Automata.
565,Data Refinement by Calculation.,Representation and uniformization of algebraic transductions.
566,Data Refinement by Calculation.,The Synthesis Problem of Petri Nets.
567,Data Refinement by Calculation.,"Demonic, angelic and unbounded probabilistic choices in sequential programs."
568,Data Refinement by Calculation.,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.
569,Data Refinement by Calculation.,Metric propositional neighborhood logic with an equivalence relation.
570,Data Refinement by Calculation.,Functional Behavior in Data Spaces.
571,Program Refinement in Fair Transition Systems.,STG decomposition strategies in combination with unfolding.
572,Program Refinement in Fair Transition Systems.,Modeling Splits in File Structures.
573,Program Refinement in Fair Transition Systems.,Does indirect addressing matter? - A note.
574,Program Refinement in Fair Transition Systems.,Trace Nets and Process Automata.
575,Program Refinement in Fair Transition Systems.,Complete Problems for Space Bounded Subclasses of NP.
576,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Bounded Quantification and Relations Recognizable by Finite Automata.
577,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Another Polynomial Homomorphism.
578,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Sur une Conjecture de S. Greibach.
579,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Modeling Splits in File Structures.
580,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.
581,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,A Modal Logic for Message Passing Processes.
582,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
583,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
