,Author,Editor,Paper,Affiliation,CompanyUniversity,Decision,Opinion
213,Walter Vogler,Isi Mitrani,Functional Behavior in Data Spaces.,UDL,University,Accepted,Nice to know.
214,Chua-Huang Huang,Isi Mitrani,Functional Behavior in Data Spaces.,UDL,University,Accepted,"Nice paper, but not too much interesting."
215,Nathan Goodman,Isi Mitrani,Functional Behavior in Data Spaces.,UDL,University,Accepted,"Nice paper, but not too much interesting."
216,X. J. Chen,Isi Mitrani,Functional Behavior in Data Spaces.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
217,Ryszard Janicki,Isi Mitrani,Functional Behavior in Data Spaces.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
218,Arnold Schönhage,Isi Mitrani,Functional Behavior in Data Spaces.,Microsoft,Company,Denied,Nice to know.
219,Sanjeev Saxena,Joseph M. Morris,Inductive Completion with Retracts.,UPC,University,Denied,Too much boring.
220,Andrzej Ehrenfeucht,Joseph M. Morris,Inductive Completion with Retracts.,Intel,Company,Accepted,Really good.
221,Arnold Schönhage,Joseph M. Morris,Inductive Completion with Retracts.,UDL,University,Denied,Nice to know.
222,Juha Honkala,Patrick Cousot,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,UDL,University,Denied,Nice to know.
223,Arnold Schönhage,Patrick Cousot,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,Intel,Company,Accepted,Too much boring.
224,Juha Honkala,Patrick Cousot,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,UDL,University,Denied,Really good.
225,Sanjeev Saxena,Patrick Cousot,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.,UDL,University,Accepted,Too much boring.
226,Ernst-Rüdiger Olderog,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,Microsoft,Company,Denied,Nice to know.
227,Sanjeev Saxena,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,UDL,University,Accepted,Too much boring.
228,Joachim Biskup,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,UDL,University,Denied,Really good.
229,Oded Shmueli,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
230,Oded Shmueli,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,UPC,University,Accepted,"Nice paper, but not too much interesting."
231,Hans Ulrich Simon,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,UPC,University,Accepted,Nice to know.
232,Nathan Goodman,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,Intel,Company,Accepted,Nice to know.
233,Oded Shmueli,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,Microsoft,Company,Accepted,Nice to know.
234,Arnold Schönhage,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,Microsoft,Company,Accepted,Too much boring.
235,Nathan Goodman,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,Intel,Company,Accepted,Too much boring.
236,Joachim Biskup,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,Intel,Company,Denied,Really good.
237,Sanjeev Saxena,Isi Mitrani,Complete Parameterized Families of Job Scheduling Strategies.,UDL,University,Denied,Nice to know.
238,M. Italiani,Joseph M. Morris,Modelling higher-order dual nondeterminacy.,Microsoft,Company,Accepted,Nice to know.
239,Ursula Goltz,Joseph M. Morris,Modelling higher-order dual nondeterminacy.,UPC,University,Accepted,Too much boring.
240,Sanjeev Saxena,Joseph M. Morris,Modelling higher-order dual nondeterminacy.,Microsoft,Company,Accepted,Nice to know.
241,Christian Lengauer,Joseph M. Morris,Modelling higher-order dual nondeterminacy.,UDL,University,Denied,"Nice paper, but not too much interesting."
242,Hans Ulrich Simon,Joseph M. Morris,Dispatcher Primitives for the Construction of Operating System Kernels.,UDL,University,Denied,Nice to know.
243,Juha Honkala,Joseph M. Morris,Dispatcher Primitives for the Construction of Operating System Kernels.,UPC,University,Accepted,"Nice paper, but not too much interesting."
244,Walter Vogler,Joseph M. Morris,Dispatcher Primitives for the Construction of Operating System Kernels.,Intel,Company,Denied,"Nice paper, but not too much interesting."
245,Nathan Goodman,Joseph M. Morris,A Note on Multihead Automata and Context-Sensitive Languages,UDL,University,Denied,Really good.
246,Ryszard Janicki,Joseph M. Morris,A Note on Multihead Automata and Context-Sensitive Languages,Microsoft,Company,Accepted,Really good.
247,Arnold Schönhage,Joseph M. Morris,A Note on Multihead Automata and Context-Sensitive Languages,Intel,Company,Denied,"Nice paper, but not too much interesting."
248,Sanjeev Saxena,Joseph M. Morris,A Note on Multihead Automata and Context-Sensitive Languages,UPC,University,Accepted,Nice to know.
249,Juha Honkala,Joseph M. Morris,A Note on Multihead Automata and Context-Sensitive Languages,Microsoft,Company,Accepted,Too much boring.
250,Nathan Goodman,Joseph M. Morris,A Note on Multihead Automata and Context-Sensitive Languages,UPC,University,Denied,"Nice paper, but not too much interesting."
251,Hans Ulrich Simon,Joseph M. Morris,A Note on Multihead Automata and Context-Sensitive Languages,UDL,University,Accepted,"Nice paper, but not too much interesting."
252,Oded Shmueli,Joseph M. Morris,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,Microsoft,Company,Denied,Too much boring.
253,Norbert Blum,Joseph M. Morris,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,UDL,University,Accepted,Nice to know.
254,Arnold Schönhage,Joseph M. Morris,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,UPC,University,Accepted,Really good.
255,Prakash Panangaden,Joseph M. Morris,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,Intel,Company,Accepted,Nice to know.
256,Andrzej Ehrenfeucht,Joseph M. Morris,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,UPC,University,Accepted,Nice to know.
257,Maria Calzarossa,Joseph M. Morris,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,Microsoft,Company,Denied,Really good.
258,Ursula Goltz,Joseph M. Morris,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.,Microsoft,Company,Accepted,Too much boring.
259,Arnold Schönhage,Jürgen Nehmer,Compositional schedulability analysis of real-time actor-based systems.,Microsoft,Company,Accepted,Too much boring.
260,Oded Shmueli,Jürgen Nehmer,Compositional schedulability analysis of real-time actor-based systems.,Microsoft,Company,Accepted,Nice to know.
261,Arnold Schönhage,Jürgen Nehmer,Compositional schedulability analysis of real-time actor-based systems.,UPC,University,Denied,"Nice paper, but not too much interesting."
262,William R. Franta,Jürgen Nehmer,Compositional schedulability analysis of real-time actor-based systems.,UDL,University,Accepted,"Nice paper, but not too much interesting."
263,Alex Kondratyev,Isi Mitrani,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,UPC,University,Denied,Nice to know.
264,Sergei Gorlatch,Isi Mitrani,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,UPC,University,Accepted,Really good.
265,Hans Ulrich Simon,Isi Mitrani,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Intel,Company,Accepted,Too much boring.
266,Arnold Schönhage,Isi Mitrani,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,UPC,University,Accepted,Nice to know.
267,Oded Shmueli,Isi Mitrani,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,Intel,Company,Denied,Too much boring.
268,Norbert Blum,Isi Mitrani,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.,UDL,University,Accepted,Too much boring.
269,Nathan Goodman,Jürgen Nehmer,Worst Case Performance of Weighted Buddy Systems.,UDL,University,Accepted,"Nice paper, but not too much interesting."
270,Norbert Blum,Jürgen Nehmer,Worst Case Performance of Weighted Buddy Systems.,Intel,Company,Denied,"Nice paper, but not too much interesting."
271,Arnold Schönhage,Jürgen Nehmer,Worst Case Performance of Weighted Buddy Systems.,Intel,Company,Accepted,Nice to know.
272,William R. Franta,Jürgen Nehmer,Worst Case Performance of Weighted Buddy Systems.,Intel,Company,Accepted,Nice to know.
273,Hans Ulrich Simon,Patrick Cousot,Contextual Nets.,Microsoft,Company,Denied,Really good.
274,Norbert Blum,Patrick Cousot,Contextual Nets.,UDL,University,Denied,Too much boring.
275,Juha Honkala,Patrick Cousot,Contextual Nets.,UPC,University,Denied,Really good.
276,Norbert Blum,Joseph M. Morris,COSY - A System Specification Language Based on Paths and Processes.,Intel,Company,Accepted,Really good.
277,Juha Honkala,Joseph M. Morris,COSY - A System Specification Language Based on Paths and Processes.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
278,Nathan Goodman,Joseph M. Morris,COSY - A System Specification Language Based on Paths and Processes.,UDL,University,Denied,Really good.
279,Sanjeev Saxena,Joseph M. Morris,Applying relation algebra and Rel View to solve problems on orders and lattices.,UPC,University,Accepted,Nice to know.
280,William R. Franta,Joseph M. Morris,Applying relation algebra and Rel View to solve problems on orders and lattices.,UDL,University,Denied,Really good.
281,Nathan Goodman,Isi Mitrani,Eliminating Unit Productions from LR Parsers.,UPC,University,Accepted,Too much boring.
282,Oded Shmueli,Isi Mitrani,Eliminating Unit Productions from LR Parsers.,UPC,University,Accepted,Too much boring.
283,Nathan Goodman,Isi Mitrani,Eliminating Unit Productions from LR Parsers.,Microsoft,Company,Denied,Really good.
284,Sanjeev Saxena,Patrick Cousot,Attribute (Re)evaluation in OPTRAN.,UPC,University,Accepted,"Nice paper, but not too much interesting."
285,Norbert Blum,Patrick Cousot,Attribute (Re)evaluation in OPTRAN.,Microsoft,Company,Denied,Nice to know.
286,Hans Ulrich Simon,Jürgen Nehmer,On Parallel Integer Sorting.,UDL,University,Denied,Really good.
287,Oded Shmueli,Jürgen Nehmer,On Parallel Integer Sorting.,UPC,University,Accepted,Nice to know.
288,Sanjeev Saxena,Joseph M. Morris,Domain Independence and the Relational Calculus.,Intel,Company,Accepted,Really good.
289,Nathan Goodman,Joseph M. Morris,Domain Independence and the Relational Calculus.,UDL,University,Denied,Too much boring.
290,Maciej Koutny,Joseph M. Morris,Domain Independence and the Relational Calculus.,Microsoft,Company,Accepted,Too much boring.
291,Hans Ulrich Simon,Joseph M. Morris,Domain Independence and the Relational Calculus.,Intel,Company,Accepted,Really good.
292,Ursula Goltz,Joseph M. Morris,Domain Independence and the Relational Calculus.,Intel,Company,Denied,"Nice paper, but not too much interesting."
293,Oded Shmueli,Joseph M. Morris,Domain Independence and the Relational Calculus.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
294,Arnold Schönhage,Joseph M. Morris,Domain Independence and the Relational Calculus.,UDL,University,Accepted,"Nice paper, but not too much interesting."
295,Antonella Santone,Joseph M. Morris,Domain Independence and the Relational Calculus.,Intel,Company,Accepted,Really good.
296,Juha Honkala,Joseph M. Morris,Domain Independence and the Relational Calculus.,Intel,Company,Accepted,Nice to know.
297,Walter Vogler,Karl Meinke,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,UDL,University,Accepted,Too much boring.
298,William R. Franta,Karl Meinke,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Intel,Company,Denied,Too much boring.
299,Arnold Schönhage,Karl Meinke,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
300,Robin Milner,Karl Meinke,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Intel,Company,Denied,Too much boring.
301,Nathan Goodman,Delphine Longuet,Bounded Quantification and Relations Recognizable by Finite Automata.,UPC,University,Accepted,Really good.
302,Sanjeev Saxena,Delphine Longuet,Bounded Quantification and Relations Recognizable by Finite Automata.,UDL,University,Denied,"Nice paper, but not too much interesting."
303,Oded Shmueli,George Leih,A Complete Algebraic Characterization of Behavioral Subtyping.,Microsoft,Company,Accepted,Really good.
304,Juha Honkala,George Leih,A Complete Algebraic Characterization of Behavioral Subtyping.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
305,Juha Honkala,Karl Meinke,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Intel,Company,Accepted,Too much boring.
306,Hans Ulrich Simon,Karl Meinke,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
307,Joachim Biskup,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Intel,Company,Denied,"Nice paper, but not too much interesting."
308,Ryszard Janicki,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Intel,Company,Denied,Too much boring.
309,Oded Shmueli,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Intel,Company,Accepted,Nice to know.
310,Ursula Goltz,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,UDL,University,Accepted,Really good.
311,Hans Ulrich Simon,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Intel,Company,Accepted,Really good.
312,Roland Meyer,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,UPC,University,Denied,Really good.
313,Hans Ulrich Simon,Delphine Longuet,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,UPC,University,Denied,Really good.
314,Oded Shmueli,Walter J. Savitch,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,UPC,University,Accepted,Really good.
315,Hans Ulrich Simon,Walter J. Savitch,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Intel,Company,Accepted,Nice to know.
316,Joachim Biskup,Walter J. Savitch,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,UDL,University,Denied,Nice to know.
317,John Darlington,Walter J. Savitch,Instruction sequence processing operators.,UPC,University,Accepted,Really good.
318,Oded Shmueli,Walter J. Savitch,Instruction sequence processing operators.,UDL,University,Denied,Too much boring.
319,X. J. Chen,Walter J. Savitch,Instruction sequence processing operators.,UDL,University,Denied,"Nice paper, but not too much interesting."
320,Juha Honkala,Walter J. Savitch,Instruction sequence processing operators.,UDL,University,Accepted,Really good.
321,Norbert Blum,Walter J. Savitch,Instruction sequence processing operators.,Microsoft,Company,Accepted,Nice to know.
322,Victor Khomenko,George Leih,What is Failure? An Approach to Constructive Negation.,UDL,University,Accepted,Nice to know.
323,Ernst-Rüdiger Olderog,George Leih,What is Failure? An Approach to Constructive Negation.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
324,Arnold Schönhage,George Leih,What is Failure? An Approach to Constructive Negation.,Intel,Company,Denied,"Nice paper, but not too much interesting."
325,Oded Shmueli,Delphine Longuet,STG decomposition strategies in combination with unfolding.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
326,Arnold Schönhage,Delphine Longuet,STG decomposition strategies in combination with unfolding.,Intel,Company,Denied,Too much boring.
327,Oded Shmueli,Walter J. Savitch,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Intel,Company,Accepted,Too much boring.
328,Christian Lengauer,Walter J. Savitch,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Microsoft,Company,Accepted,Too much boring.
329,Sanjeev Saxena,Delphine Longuet,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,UPC,University,Denied,Nice to know.
330,Christian Ronse,Delphine Longuet,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,UDL,University,Denied,Too much boring.
331,Juha Honkala,George Leih,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,UDL,University,Accepted,Really good.
332,Norbert Blum,George Leih,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Intel,Company,Accepted,Nice to know.
333,Hans Ulrich Simon,George Leih,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Microsoft,Company,Accepted,Really good.
334,M. Italiani,George Leih,Probabilistic bisimulation for realistic schedulers.,Intel,Company,Denied,Too much boring.
335,Norbert Blum,George Leih,Probabilistic bisimulation for realistic schedulers.,UDL,University,Denied,Nice to know.
336,Sanjeev Saxena,George Leih,Probabilistic bisimulation for realistic schedulers.,Microsoft,Company,Denied,Nice to know.
337,Yijie Han,George Leih,Probabilistic bisimulation for realistic schedulers.,UPC,University,Denied,"Nice paper, but not too much interesting."
338,Norbert Blum,George Leih,Probabilistic bisimulation for realistic schedulers.,Intel,Company,Denied,Really good.
339,Sanjeev Saxena,Karl Meinke,Explaining the Wheel Sieve.,UDL,University,Accepted,Really good.
340,Hans Ulrich Simon,Karl Meinke,Explaining the Wheel Sieve.,Microsoft,Company,Accepted,Too much boring.
341,X. J. Chen,Karl Meinke,Explaining the Wheel Sieve.,UPC,University,Accepted,"Nice paper, but not too much interesting."
342,Oded Shmueli,Karl Meinke,Explaining the Wheel Sieve.,Intel,Company,Denied,"Nice paper, but not too much interesting."
343,Sanjeev Saxena,Karl Meinke,Explaining the Wheel Sieve.,UDL,University,Denied,Nice to know.
344,Oded Shmueli,Karl Meinke,Explaining the Wheel Sieve.,UPC,University,Denied,Really good.
345,Oded Shmueli,Delphine Longuet,Another Polynomial Homomorphism.,UPC,University,Accepted,Really good.
346,Sanjeev Saxena,Delphine Longuet,Another Polynomial Homomorphism.,UDL,University,Denied,Nice to know.
347,Christian Lengauer,Delphine Longuet,Another Polynomial Homomorphism.,UDL,University,Denied,"Nice paper, but not too much interesting."
348,Vincent Vajnovszki,Delphine Longuet,Another Polynomial Homomorphism.,UDL,University,Accepted,Nice to know.
349,Michael Evangelist,Delphine Longuet,Variance Reduction Techniques for the Simulation of Markov Process.,Microsoft,Company,Denied,"Nice paper, but not too much interesting."
350,Juha Honkala,Delphine Longuet,Variance Reduction Techniques for the Simulation of Markov Process.,UDL,University,Accepted,Nice to know.
351,Sanjeev Saxena,Delphine Longuet,Variance Reduction Techniques for the Simulation of Markov Process.,UPC,University,Accepted,Too much boring.
352,Sanjeev Saxena,Delphine Longuet,State complexity of deletion and bipolar deletion.,Microsoft,Company,Denied,Nice to know.
353,Norbert Blum,Delphine Longuet,State complexity of deletion and bipolar deletion.,UPC,University,Denied,Too much boring.
354,Yoshihide Igarashi,Delphine Longuet,State complexity of deletion and bipolar deletion.,Microsoft,Company,Accepted,Really good.
355,Richard Müller 0001,Delphine Longuet,State complexity of deletion and bipolar deletion.,Microsoft,Company,Denied,Nice to know.
356,Arnold Schönhage,Delphine Longuet,State complexity of deletion and bipolar deletion.,UDL,University,Denied,"Nice paper, but not too much interesting."
357,Oded Shmueli,Karl Meinke,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Intel,Company,Denied,Really good.
358,Juha Honkala,Karl Meinke,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,UPC,University,Accepted,Too much boring.
359,Andrzej Ehrenfeucht,Karl Meinke,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
360,Juha Honkala,Delphine Longuet,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,UDL,University,Accepted,Nice to know.
361,Oded Shmueli,Delphine Longuet,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,UDL,University,Accepted,Really good.
362,Juha Honkala,Delphine Longuet,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,Microsoft,Company,Denied,Really good.
363,Ernst-Rüdiger Olderog,Delphine Longuet,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.,UPC,University,Accepted,Really good.
364,Walter Vogler,Delphine Longuet,Regular and context-free nominal traces.,UPC,University,Denied,Really good.
365,Hans Ulrich Simon,Delphine Longuet,Regular and context-free nominal traces.,Intel,Company,Accepted,Really good.
366,Arnold Schönhage,Delphine Longuet,Regular and context-free nominal traces.,UPC,University,Denied,Too much boring.
367,Nathan Goodman,Delphine Longuet,Regular and context-free nominal traces.,Intel,Company,Denied,Nice to know.
368,Nathan Goodman,Delphine Longuet,Regular and context-free nominal traces.,Intel,Company,Denied,"Nice paper, but not too much interesting."
369,Sanjeev Saxena,Delphine Longuet,Regular and context-free nominal traces.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
370,Juha Honkala,Delphine Longuet,Regular and context-free nominal traces.,UDL,University,Accepted,Too much boring.
371,Ivan Hal Sudborough,Delphine Longuet,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,UPC,University,Accepted,Too much boring.
372,Norbert Blum,Delphine Longuet,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.,Microsoft,Company,Denied,Too much boring.
373,Norbert Blum,George Leih,Special issue: Synthesis and SYNT 2014.,UPC,University,Accepted,"Nice paper, but not too much interesting."
374,Antonella Santone,George Leih,Special issue: Synthesis and SYNT 2014.,UDL,University,Denied,Really good.
375,Christian Ronse,George Leih,Special issue: Synthesis and SYNT 2014.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
376,Ivan Hal Sudborough,Walter J. Savitch,On the Synchronization in Parallel Communicating Grammar Systems.,Intel,Company,Accepted,Really good.
377,Norbert Blum,Walter J. Savitch,On the Synchronization in Parallel Communicating Grammar Systems.,Microsoft,Company,Denied,Nice to know.
378,Chua-Huang Huang,Walter J. Savitch,On the Synchronization in Parallel Communicating Grammar Systems.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
379,Oded Shmueli,Walter J. Savitch,On the Synchronization in Parallel Communicating Grammar Systems.,Intel,Company,Accepted,Nice to know.
380,Sanjeev Saxena,George Leih,Weakly Context-Sensitive Languages as Model for Programming Languages.,Microsoft,Company,Accepted,Nice to know.
381,Nathan Goodman,George Leih,Weakly Context-Sensitive Languages as Model for Programming Languages.,UPC,University,Denied,Really good.
382,Arnold Schönhage,George Leih,Weakly Context-Sensitive Languages as Model for Programming Languages.,Microsoft,Company,Accepted,"Nice paper, but not too much interesting."
383,Oded Shmueli,George Leih,Weakly Context-Sensitive Languages as Model for Programming Languages.,UPC,University,Accepted,Too much boring.
384,Michael Evangelist,Karl Meinke,Rules of Inference for Procedure Calls.,UDL,University,Denied,Too much boring.
385,Richard Müller 0001,Karl Meinke,Rules of Inference for Procedure Calls.,Intel,Company,Denied,Nice to know.
386,William R. Franta,Karl Meinke,Rules of Inference for Procedure Calls.,UDL,University,Denied,Too much boring.
387,Stefan Reisch,Delphine Longuet,The Construction of Operator Interfaces Based on Logical Input Devices.,Microsoft,Company,Denied,Too much boring.
388,Hans Ulrich Simon,Delphine Longuet,The Construction of Operator Interfaces Based on Logical Input Devices.,Intel,Company,Denied,Really good.
389,Nathan Goodman,Delphine Longuet,The Construction of Operator Interfaces Based on Logical Input Devices.,Intel,Company,Denied,Nice to know.
390,Walter Vogler,George Leih,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,UPC,University,Denied,Really good.
391,Sanjeev Saxena,George Leih,High Level Tree Transducers and Iterated Pushdown Tree Transducers.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
392,Roland Meyer,George Leih,Gobang ist PSPACE-vollständig.,UDL,University,Denied,Nice to know.
393,Ryszard Janicki,George Leih,Gobang ist PSPACE-vollständig.,Microsoft,Company,Denied,Really good.
394,Arnold Schönhage,George Leih,Gobang ist PSPACE-vollständig.,Microsoft,Company,Denied,Too much boring.
395,Oded Shmueli,George Leih,Gobang ist PSPACE-vollständig.,UDL,University,Accepted,"Nice paper, but not too much interesting."
396,Arnold Schönhage,George Leih,A note on autodense related languages.,Intel,Company,Accepted,Nice to know.
397,Juha Honkala,George Leih,A note on autodense related languages.,UDL,University,Denied,Nice to know.
398,Yijie Han,George Leih,A note on autodense related languages.,Microsoft,Company,Accepted,Too much boring.
399,Hans Ulrich Simon,George Leih,A note on autodense related languages.,UPC,University,Denied,Nice to know.
400,Oded Shmueli,Walter J. Savitch,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,UPC,University,Accepted,"Nice paper, but not too much interesting."
401,Sanjeev Saxena,Walter J. Savitch,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,UDL,University,Accepted,Really good.
402,Carol Critchlow,Walter J. Savitch,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.,Microsoft,Company,Denied,Really good.
403,Norbert Blum,Karl Meinke,Optimizing the Costs of Hierarchical Quorum Consensus.,Microsoft,Company,Accepted,Really good.
404,Arnold Schönhage,Karl Meinke,Optimizing the Costs of Hierarchical Quorum Consensus.,UDL,University,Denied,"Nice paper, but not too much interesting."
405,Rob J. van Glabbeek,Karl Meinke,Optimizing the Costs of Hierarchical Quorum Consensus.,UDL,University,Accepted,"Nice paper, but not too much interesting."
406,Oded Shmueli,Karl Meinke,Optimizing the Costs of Hierarchical Quorum Consensus.,UPC,University,Denied,Really good.
407,Juha Honkala,Karl Meinke,Optimizing the Costs of Hierarchical Quorum Consensus.,Microsoft,Company,Denied,Too much boring.
408,William R. Franta,Karl Meinke,Recursive Petri nets.,Intel,Company,Accepted,Too much boring.
409,Nathan Goodman,Karl Meinke,Recursive Petri nets.,Intel,Company,Denied,Nice to know.
410,Arnold Schönhage,Karl Meinke,Multitype Multiprogramming Models.,Intel,Company,Denied,Really good.
411,Christian Lengauer,Karl Meinke,Multitype Multiprogramming Models.,UPC,University,Denied,Nice to know.
412,M. Italiani,Karl Meinke,Multitype Multiprogramming Models.,Intel,Company,Denied,Too much boring.
413,Sergei Gorlatch,Karl Meinke,Multitype Multiprogramming Models.,UDL,University,Denied,Too much boring.
414,Hans Ulrich Simon,Karl Meinke,Multitype Multiprogramming Models.,UPC,University,Denied,Too much boring.
415,Ursula Goltz,Karl Meinke,Multitype Multiprogramming Models.,UPC,University,Accepted,Too much boring.
416,Wim H. Hesselink,Karl Meinke,Multitype Multiprogramming Models.,UDL,University,Denied,Too much boring.
417,Oded Shmueli,Delphine Longuet,Automatic Correction of Syntax-Errors in Programming Languages.,UPC,University,Accepted,Nice to know.
418,Norbert Blum,Delphine Longuet,Automatic Correction of Syntax-Errors in Programming Languages.,UPC,University,Accepted,Really good.
419,Yoshihide Igarashi,Delphine Longuet,Automatic Correction of Syntax-Errors in Programming Languages.,Intel,Company,Accepted,"Nice paper, but not too much interesting."
420,Nathan Goodman,Delphine Longuet,Automatic Correction of Syntax-Errors in Programming Languages.,Microsoft,Company,Accepted,Nice to know.
421,Ursula Goltz,Delphine Longuet,Representation and uniformization of algebraic transductions.,Microsoft,Company,Denied,Nice to know.
422,Norbert Blum,Delphine Longuet,Representation and uniformization of algebraic transductions.,UPC,University,Accepted,"Nice paper, but not too much interesting."
423,William R. Franta,Delphine Longuet,Representation and uniformization of algebraic transductions.,UPC,University,Denied,Too much boring.
424,Juha Honkala,Delphine Longuet,Representation and uniformization of algebraic transductions.,UPC,University,Denied,"Nice paper, but not too much interesting."
425,Nathan Goodman,Delphine Longuet,Representation and uniformization of algebraic transductions.,Microsoft,Company,Denied,Nice to know.
426,William R. Franta,Delphine Longuet,Representation and uniformization of algebraic transductions.,UDL,University,Accepted,"Nice paper, but not too much interesting."
427,Nathan Goodman,Delphine Longuet,Representation and uniformization of algebraic transductions.,UDL,University,Accepted,Nice to know.
428,Joachim Biskup,Walter J. Savitch,Concurrent Bisimulations in Petri Nets.,UDL,University,Denied,Nice to know.
429,Hans Ulrich Simon,Walter J. Savitch,Concurrent Bisimulations in Petri Nets.,UDL,University,Denied,Really good.
430,Norbert Blum,Delphine Longuet,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Microsoft,Company,Accepted,Too much boring.
