,paper,reference
446,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Sur une Conjecture de S. Greibach.
447,Enhanced prefetching and caching strategies for single- and multi-disk systems.,On a Class of Recursive Procedures and Equivalent Iterative Ones.
448,Enhanced prefetching and caching strategies for single- and multi-disk systems.,The Undecidability of the Unification and Matching Problem for Canonical Theories.
449,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Head and state hierarchies for unary multi-head finite automata.
450,Enhanced prefetching and caching strategies for single- and multi-disk systems.,A Note on Synthesis and Classification of Sorting Algorithms.
451,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Finite State Relational Programs.
452,Enhanced prefetching and caching strategies for single- and multi-disk systems.,The Derivation of Systolic Implementations of Programs.
453,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Fifo Nets Without Order Deadlock.
454,Enhanced prefetching and caching strategies for single- and multi-disk systems.,A Three-Stage Construction for Multiconnection Networks.
455,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Least Upper Bound on the Cost of Optimum Binary Search Trees.
456,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
457,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Hex ist PSPACE-vollständig.
458,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Disjunctivity and other properties of sets of pseudo-bordered words.
459,Enhanced prefetching and caching strategies for single- and multi-disk systems.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
460,Enhanced prefetching and caching strategies for single- and multi-disk systems.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
461,Enhanced prefetching and caching strategies for single- and multi-disk systems.,On Efficient Entreeings.
462,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
463,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Behavioural Approaches to Algebraic Specifications: A Comparative Study.
464,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Variance Reduction Techniques for the Simulation of Markov Process.
465,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Recursive Petri nets.
466,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Concurrent Bisimulations in Petri Nets.
467,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,On the Look-Ahead Problem in Lexical Analysis.
468,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.
469,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Data Encodings and Their Costs.
470,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.
471,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
472,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Lazy Structure Sharing for Query Optimization.
473,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Generation of Efficient 
474,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Stochastic cooperative distributed grammar systems and random graphs.
475,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Systolic Automata for VLSI on Balanced Trees.
476,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Finite State Relational Programs.
477,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,The Lattice of Data Refinement.
478,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
479,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
480,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Trace- and failure-based semantics for responsiveness.
481,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Automatic verification of concurrent systems using a formula-based compositional approach.
482,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Complete Problems for Space Bounded Subclasses of NP.
483,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,The Parsing Problem for Affix Grammars.
484,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Functional Behavior in Data Spaces.
485,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.
486,State space axioms for T-systems.,A Modal Logic for Message Passing Processes.
487,State space axioms for T-systems.,A Note on Multihead Automata and Context-Sensitive Languages
488,Extended multi bottom-up tree transducers.,Program Refinement in Fair Transition Systems.
489,Extended multi bottom-up tree transducers.,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.
490,Extended multi bottom-up tree transducers.,Algorithms for Fast Evaluation of Boolean Expressions.
491,Extended multi bottom-up tree transducers.,A new natural structural congruence in the pi-calculus with replication.
492,Extended multi bottom-up tree transducers.,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.
493,Extended multi bottom-up tree transducers.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
494,Extended multi bottom-up tree transducers.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
495,Extended multi bottom-up tree transducers.,A Note on Multihead Automata and Context-Sensitive Languages
496,The Clean Termination of Iterative Programs.,The Construction of Operator Interfaces Based on Logical Input Devices.
497,The Clean Termination of Iterative Programs.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
498,The Clean Termination of Iterative Programs.,On a Class of Recursive Procedures and Equivalent Iterative Ones.
499,The Clean Termination of Iterative Programs.,The Undecidability of the Unification and Matching Problem for Canonical Theories.
500,The Clean Termination of Iterative Programs.,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.
501,The Clean Termination of Iterative Programs.,Parallel Integer Sorting Using Small Operations.
502,The Clean Termination of Iterative Programs.,Systolic Automata for VLSI on Balanced Trees.
503,The Clean Termination of Iterative Programs.,A characterization of rational D0L power series.
504,The Clean Termination of Iterative Programs.,Branching Processes in the Analysis of the Heights of Trees.
505,The Clean Termination of Iterative Programs.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
506,The Clean Termination of Iterative Programs.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
507,The Clean Termination of Iterative Programs.,Complete Problems for Space Bounded Subclasses of NP.
508,The Clean Termination of Iterative Programs.,Best Huffman Trees.
509,The Clean Termination of Iterative Programs.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
510,The Clean Termination of Iterative Programs.,On Efficient Entreeings.
511,The Clean Termination of Iterative Programs.,Complete Parameterized Families of Job Scheduling Strategies.
512,The Clean Termination of Iterative Programs.,Modelling higher-order dual nondeterminacy.
513,Infinite Proof Rules for Loops.,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.
514,Infinite Proof Rules for Loops.,State complexity of deletion and bipolar deletion.
515,Infinite Proof Rules for Loops.,High Level Tree Transducers and Iterated Pushdown Tree Transducers.
516,Infinite Proof Rules for Loops.,Gobang ist PSPACE-vollständig.
517,Infinite Proof Rules for Loops.,On the Look-Ahead Problem in Lexical Analysis.
518,Infinite Proof Rules for Loops.,A Modal Logic for Message Passing Processes.
519,Infinite Proof Rules for Loops.,A Proof System for Distributed Processes.
520,Infinite Proof Rules for Loops.,Merged processes: a new condensed representation of Petri net behaviour.
521,Infinite Proof Rules for Loops.,Maximum Entropy and the 
522,Infinite Proof Rules for Loops.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
523,Infinite Proof Rules for Loops.,Dispatcher Primitives for the Construction of Operating System Kernels.
524,Infinite Proof Rules for Loops.,Context-Free Graph Languages of Bounded Degree are Generated by Apex Graph Grammars.
525,Infinite Proof Rules for Loops.,Attribute (Re)evaluation in OPTRAN.
526,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Bounded Quantification and Relations Recognizable by Finite Automata.
527,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,A note on autodense related languages.
528,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Automatic Correction of Syntax-Errors in Programming Languages.
529,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
530,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Ein Vollständigkeitssatz für Programme und Schaltkreise.
531,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,A Conservation Law for G/G/m Queueing Systems.
532,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,A Modal Logic for Message Passing Processes.
533,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Reasoning Algebraically about Loops.
534,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Metric propositional neighborhood logic with an equivalence relation.
535,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.
536,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,The Paging Drum Queue: A Uniform Perspective and Further Results.
537,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Concurrent Access to Data.
538,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Systolic Automata for VLSI on Balanced Trees.
539,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,On the Power of Chain Rules in Context Free Grammars.
540,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
541,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,A Note on the Density of Inherently Ambiguous Context-free Languages.
542,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
543,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,A Recursive Second Order Initial Algebra Specification of Primitive Recursion.
544,"Running a job on a collection of partly available machines, with on-line restarts.",A Complete Algebraic Characterization of Behavioral Subtyping.
545,"Running a job on a collection of partly available machines, with on-line restarts.",Efficient execution of dynamically controllable simple temporal networks with uncertainty.
546,"Running a job on a collection of partly available machines, with on-line restarts.",A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
547,"Running a job on a collection of partly available machines, with on-line restarts.",Multitype Multiprogramming Models.
548,"Running a job on a collection of partly available machines, with on-line restarts.",Data Encodings and Their Costs.
549,"Running a job on a collection of partly available machines, with on-line restarts.",An Efficiency Preorder for Processes.
550,"Running a job on a collection of partly available machines, with on-line restarts.",On regular tree languages and deterministic pushdown automata.
551,"Running a job on a collection of partly available machines, with on-line restarts.",A Modal Logic for Message Passing Processes.
552,"Running a job on a collection of partly available machines, with on-line restarts.",Concurrent Access to Data.
553,"Running a job on a collection of partly available machines, with on-line restarts.",A new natural structural congruence in the pi-calculus with replication.
554,"Running a job on a collection of partly available machines, with on-line restarts.",Finite State Relational Programs.
555,"Running a job on a collection of partly available machines, with on-line restarts.",MAT learners for tree series: an abstract data type and two realizations.
556,"Running a job on a collection of partly available machines, with on-line restarts.",Merged processes: a new condensed representation of Petri net behaviour.
557,"Running a job on a collection of partly available machines, with on-line restarts.",Compositional Refinements in Multiple Blackboard Systems.
558,"Running a job on a collection of partly available machines, with on-line restarts.",Efficient controller synthesis for a fragment of MTL
559,"Running a job on a collection of partly available machines, with on-line restarts.",Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.
560,Data Refinement by Calculation.,Bounded Quantification and Relations Recognizable by Finite Automata.
561,Data Refinement by Calculation.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
562,Data Refinement by Calculation.,Quad Trees: A Data Structure for Retrieval on Composite Keys.
563,Data Refinement by Calculation.,Another Polynomial Homomorphism.
564,Data Refinement by Calculation.,Optimizing the Costs of Hierarchical Quorum Consensus.
565,Data Refinement by Calculation.,Multitype Multiprogramming Models.
566,Data Refinement by Calculation.,Concurrent Bisimulations in Petri Nets.
567,Data Refinement by Calculation.,Extended multi bottom-up tree transducers.
568,Data Refinement by Calculation.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
569,Data Refinement by Calculation.,On the Look-Ahead Problem in Lexical Analysis.
570,Data Refinement by Calculation.,Type-based information flow analysis for the pi-calculus.
571,Data Refinement by Calculation.,On weighted first-order logics with discounting.
572,Data Refinement by Calculation.,"Semantics, calculi, and analysis for object-oriented specifications."
573,Data Refinement by Calculation.,Head and state hierarchies for unary multi-head finite automata.
574,Data Refinement by Calculation.,MAT learners for tree series: an abstract data type and two realizations.
575,Data Refinement by Calculation.,Correctness of the Compiling Process Based on Axiomatic Semantics.
576,Data Refinement by Calculation.,The Lattice of Data Refinement.
577,Data Refinement by Calculation.,A first step in characterizing three-element codes.
578,Data Refinement by Calculation.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
579,Data Refinement by Calculation.,On the Power of Chain Rules in Context Free Grammars.
580,Data Refinement by Calculation.,A Three-Stage Construction for Multiconnection Networks.
581,Data Refinement by Calculation.,Best Huffman Trees.
582,Data Refinement by Calculation.,Complete Parameterized Families of Job Scheduling Strategies.
583,Data Refinement by Calculation.,Modelling higher-order dual nondeterminacy.
584,Data Refinement by Calculation.,Dispatcher Primitives for the Construction of Operating System Kernels.
585,Data Refinement by Calculation.,Contextual Nets.
586,Program Refinement in Fair Transition Systems.,Bounded Quantification and Relations Recognizable by Finite Automata.
587,Program Refinement in Fair Transition Systems.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
588,Program Refinement in Fair Transition Systems.,Another Polynomial Homomorphism.
589,Program Refinement in Fair Transition Systems.,Deterministic pushdown-CD-systems of stateless deterministic R(1)-automata.
590,Program Refinement in Fair Transition Systems.,Gobang ist PSPACE-vollständig.
591,Program Refinement in Fair Transition Systems.,Optimizing the Costs of Hierarchical Quorum Consensus.
592,Program Refinement in Fair Transition Systems.,Sur une Conjecture de S. Greibach.
593,Program Refinement in Fair Transition Systems.,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
594,Program Refinement in Fair Transition Systems.,Trace Nets and Process Automata.
595,Program Refinement in Fair Transition Systems.,Inhibitionsfelder.
596,Program Refinement in Fair Transition Systems.,Performance Preorder and Competitive Equivalence.
597,Program Refinement in Fair Transition Systems.,The Lattice of Data Refinement.
598,Program Refinement in Fair Transition Systems.,NP-complete Problems Simplified on Tree Schemas.
599,Program Refinement in Fair Transition Systems.,A characterization of rational D0L power series.
600,Program Refinement in Fair Transition Systems.,Fifo Nets Without Order Deadlock.
601,Program Refinement in Fair Transition Systems.,A Workload Model Representative of Static and Dynamic Characteristics.
602,Program Refinement in Fair Transition Systems.,Branching Processes in the Analysis of the Heights of Trees.
603,Program Refinement in Fair Transition Systems.,Automatic verification of concurrent systems using a formula-based compositional approach.
604,Program Refinement in Fair Transition Systems.,Sometime = Always + Recursion = Always on the Equivalence of the Intermittent and Invariant Assertions Methods for Proving Inevitability Properties of Programs.
605,Program Refinement in Fair Transition Systems.,Dispatcher Primitives for the Construction of Operating System Kernels.
606,Program Refinement in Fair Transition Systems.,Attribute (Re)evaluation in OPTRAN.
607,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.
608,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,A note on autodense related languages.
609,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Metric propositional neighborhood logic with an equivalence relation.
610,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Merged processes: a new condensed representation of Petri net behaviour.
611,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Modelling higher-order dual nondeterminacy.
612,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",A Complete Algebraic Characterization of Behavioral Subtyping.
613,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Weakly Context-Sensitive Languages as Model for Programming Languages.
614,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",State space axioms for T-systems.
615,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Extended multi bottom-up tree transducers.
616,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Sur une Conjecture de S. Greibach.
617,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",A general account of coinduction up-to.
618,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
619,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Synchronized regular expressions.
620,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",The Programming Language Pascal.
621,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Optimal Multiprogramming.
622,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.","Another Look at the ""Longest Ascending Subsequence"" Problem."
623,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",A Proof System for Distributed Processes.
624,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",MAT learners for tree series: an abstract data type and two realizations.
625,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Fifo Nets Without Order Deadlock.
626,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
627,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",A Synthesis of Several Sorting Algorithms.
628,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
629,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
630,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.","Special issue on ""Combining Compositionality and Concurrency"": part 1."
631,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",On Removing the Machine from the Language.
632,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Best Huffman Trees.
633,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Modelling higher-order dual nondeterminacy.
634,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Dispatcher Primitives for the Construction of Operating System Kernels.
635,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",A Note on Multihead Automata and Context-Sensitive Languages
636,On the Look-Ahead Problem in Lexical Analysis.,Algorithms for Fast Evaluation of Boolean Expressions.
637,On the Look-Ahead Problem in Lexical Analysis.,Metric propositional neighborhood logic with an equivalence relation.
638,On the Look-Ahead Problem in Lexical Analysis.,Fifo Nets Without Order Deadlock.
639,On the Look-Ahead Problem in Lexical Analysis.,Merged processes: a new condensed representation of Petri net behaviour.
640,On the Look-Ahead Problem in Lexical Analysis.,Best Huffman Trees.
641,A theory of formal synthesis via inductive learning.,Instruction sequence processing operators.
642,A theory of formal synthesis via inductive learning.,On the Synchronization in Parallel Communicating Grammar Systems.
643,A theory of formal synthesis via inductive learning.,Rules of Inference for Procedure Calls.
644,A theory of formal synthesis via inductive learning.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
645,A theory of formal synthesis via inductive learning.,Concurrent Bisimulations in Petri Nets.
646,A theory of formal synthesis via inductive learning.,Program Refinement in Fair Transition Systems.
647,A theory of formal synthesis via inductive learning.,Data Encodings and Their Costs.
648,A theory of formal synthesis via inductive learning.,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
649,A theory of formal synthesis via inductive learning.,On weighted first-order logics with discounting.
650,A theory of formal synthesis via inductive learning.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
651,A theory of formal synthesis via inductive learning.,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.
652,A theory of formal synthesis via inductive learning.,Metric propositional neighborhood logic with an equivalence relation.
653,A theory of formal synthesis via inductive learning.,The Undecidability of the Unification and Matching Problem for Canonical Theories.
654,A theory of formal synthesis via inductive learning.,Optimal Multiprogramming.
655,A theory of formal synthesis via inductive learning.,The Lattice of Data Refinement.
656,A theory of formal synthesis via inductive learning.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
657,A theory of formal synthesis via inductive learning.,Pattern Matching in Trees and Nets.
658,A theory of formal synthesis via inductive learning.,"Invariants, Composition, and Substitution."
659,A theory of formal synthesis via inductive learning.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
660,A theory of formal synthesis via inductive learning.,Efficient controller synthesis for a fragment of MTL
661,A theory of formal synthesis via inductive learning.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
662,A theory of formal synthesis via inductive learning.,Compositional schedulability analysis of real-time actor-based systems.
663,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.
664,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,On regular tree languages and deterministic pushdown automata.
665,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,A Principle of Independence for Binary Tree Searching.
666,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,The Expressive Power of Delay Operators in SCCS.
667,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Efficient controller synthesis for a fragment of MTL
668,Data Encodings and Their Costs.,Weakly Context-Sensitive Languages as Model for Programming Languages.
669,Data Encodings and Their Costs.,Recursive Petri nets.
670,Data Encodings and Their Costs.,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.
671,Data Encodings and Their Costs.,"Another Look at the ""Longest Ascending Subsequence"" Problem."
672,Data Encodings and Their Costs.,A Proof System for Distributed Processes.
673,Data Encodings and Their Costs.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
674,Data Encodings and Their Costs.,Hex ist PSPACE-vollständig.
675,Data Encodings and Their Costs.,Best Huffman Trees.
676,Hierarchies of Complete Problems.,The Construction of Operator Interfaces Based on Logical Input Devices.
677,Hierarchies of Complete Problems.,Infinite Proof Rules for Loops.
678,Hierarchies of Complete Problems.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
679,Hierarchies of Complete Problems.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
680,Hierarchies of Complete Problems.,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.
681,Hierarchies of Complete Problems.,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.
682,Hierarchies of Complete Problems.,Relaxed red-black trees with group updates.
683,Hierarchies of Complete Problems.,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.
684,Hierarchies of Complete Problems.,Performance Evaluation of Fork and Join Synchronization Primitives.
685,Hierarchies of Complete Problems.,Some properties of the disjunctive languages contained in 
686,Hierarchies of Complete Problems.,Systolic Automata for VLSI on Balanced Trees.
687,Hierarchies of Complete Problems.,Complexity Theory and the Operational Structure of Algebraic Programming Systems.
688,Hierarchies of Complete Problems.,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.
689,Hierarchies of Complete Problems.,Disjunctivity and other properties of sets of pseudo-bordered words.
690,Hierarchies of Complete Problems.,Best Huffman Trees.
691,Hierarchies of Complete Problems.,On Efficient Entreeings.
692,Hierarchies of Complete Problems.,Persistence of Vector Replacement Systems is Decidable.
693,Hierarchies of Complete Problems.,Worst Case Performance of Weighted Buddy Systems.
694,Hierarchies of Complete Problems.,Attribute (Re)evaluation in OPTRAN.
695,Ein Vollständigkeitssatz für Programme und Schaltkreise.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
696,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Variance Reduction Techniques for the Simulation of Markov Process.
697,Ein Vollständigkeitssatz für Programme und Schaltkreise.,On the Synchronization in Parallel Communicating Grammar Systems.
698,Ein Vollständigkeitssatz für Programme und Schaltkreise.,A note on autodense related languages.
699,Ein Vollständigkeitssatz für Programme und Schaltkreise.,State space axioms for T-systems.
700,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Languages Accepted by Systolic Y-Tree Automata: Structural Characterizations.
701,Ein Vollständigkeitssatz für Programme und Schaltkreise.,"Semantics, calculi, and analysis for object-oriented specifications."
702,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Optimum Multiway Search Trees.
703,Ein Vollständigkeitssatz für Programme und Schaltkreise.,A Survey of Normal Form Covers for Context Free Grammars.
704,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Liveness of a mutex algorithm in a fair process algebra.
705,Ein Vollständigkeitssatz für Programme und Schaltkreise.,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.
706,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Correctness of the Compiling Process Based on Axiomatic Semantics.
707,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Backtracking in Recursive Computations.
708,Ein Vollständigkeitssatz für Programme und Schaltkreise.,The Derivation of Systolic Implementations of Programs.
709,Ein Vollständigkeitssatz für Programme und Schaltkreise.,A Note on the Density of Inherently Ambiguous Context-free Languages.
710,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Compositional Refinements in Multiple Blackboard Systems.
711,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Automatic verification of concurrent systems using a formula-based compositional approach.
712,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Functional Behavior in Data Spaces.
713,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Modelling higher-order dual nondeterminacy.
714,Ein Vollständigkeitssatz für Programme und Schaltkreise.,Eliminating Unit Productions from LR Parsers.
715,Type-based information flow analysis for the pi-calculus.,Representation and uniformization of algebraic transductions.
716,Type-based information flow analysis for the pi-calculus.,A Principle of Independence for Binary Tree Searching.
717,Type-based information flow analysis for the pi-calculus.,Lazy Structure Sharing for Query Optimization.
718,Type-based information flow analysis for the pi-calculus.,The Expressive Power of Delay Operators in SCCS.
719,Sur une Conjecture de S. Greibach.,Recognizability of graph and pattern languages.
720,Sur une Conjecture de S. Greibach.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
721,Sur une Conjecture de S. Greibach.,A Modal Logic for Message Passing Processes.
722,A Conservation Law for G/G/m Queueing Systems.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
723,A Conservation Law for G/G/m Queueing Systems.,Enhanced prefetching and caching strategies for single- and multi-disk systems.
724,A Conservation Law for G/G/m Queueing Systems.,Data Encodings and Their Costs.
725,A Conservation Law for G/G/m Queueing Systems.,A general account of coinduction up-to.
726,A Conservation Law for G/G/m Queueing Systems.,Models for Reactivity.
727,A Conservation Law for G/G/m Queueing Systems.,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
728,A Conservation Law for G/G/m Queueing Systems.,Finite State Relational Programs.
729,A Conservation Law for G/G/m Queueing Systems.,Efficient LL(1) Error Correction and Recovery Using Only Insertions.
730,A Conservation Law for G/G/m Queueing Systems.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
