,paper,reference
436,Extended multi bottom-up tree transducers.,Reasoning Algebraically about Loops.
437,Extended multi bottom-up tree transducers.,Complexity Theory and the Operational Structure of Algebraic Programming Systems.
438,Extended multi bottom-up tree transducers.,A Synthesis of Several Sorting Algorithms.
439,The Clean Termination of Iterative Programs.,Extended multi bottom-up tree transducers.
440,The Clean Termination of Iterative Programs.,Reasoning Algebraically about Loops.
441,The Clean Termination of Iterative Programs.,A first step in characterizing three-element codes.
442,The Clean Termination of Iterative Programs.,On Removing the Machine from the Language.
443,Infinite Proof Rules for Loops.,Probabilistic bisimulation for realistic schedulers.
444,Infinite Proof Rules for Loops.,Special issue: Synthesis and SYNT 2014.
445,Infinite Proof Rules for Loops.,A Conservation Law for G/G/m Queueing Systems.
446,Infinite Proof Rules for Loops.,Inhibitionsfelder.
447,Infinite Proof Rules for Loops.,Optimal Multiprogramming.
448,Infinite Proof Rules for Loops.,Paramodulated Connection Graphs.
449,Infinite Proof Rules for Loops.,Efficient LL(1) Error Correction and Recovery Using Only Insertions.
450,Infinite Proof Rules for Loops.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
451,Infinite Proof Rules for Loops.,Disjunctivity and other properties of sets of pseudo-bordered words.
452,Infinite Proof Rules for Loops.,Complete Problems for Space Bounded Subclasses of NP.
453,Infinite Proof Rules for Loops.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
454,Infinite Proof Rules for Loops.,On Parallel Integer Sorting.
455,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Recognizability of graph and pattern languages.
456,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,Pattern Matching in Trees and Nets.
457,Nonfinite Axiomatizability of the Equational Theory of Shuffle.,A Synthesis of Several Sorting Algorithms.
458,"Running a job on a collection of partly available machines, with on-line restarts.",Extended multi bottom-up tree transducers.
459,"Running a job on a collection of partly available machines, with on-line restarts.","Running a job on a collection of partly available machines, with on-line restarts."
460,"Running a job on a collection of partly available machines, with on-line restarts.",Metric propositional neighborhood logic with an equivalence relation.
461,"Running a job on a collection of partly available machines, with on-line restarts.",Inhibitionsfelder.
462,"Running a job on a collection of partly available machines, with on-line restarts.",Some properties of the disjunctive languages contained in 
463,"Running a job on a collection of partly available machines, with on-line restarts.",A Note on Synthesis and Classification of Sorting Algorithms.
464,"Running a job on a collection of partly available machines, with on-line restarts.","Another Look at the ""Longest Ascending Subsequence"" Problem."
465,"Running a job on a collection of partly available machines, with on-line restarts.",Exponentially decreasing number of operations in balanced trees.
466,"Running a job on a collection of partly available machines, with on-line restarts.",Backtracking in Recursive Computations.
467,"Running a job on a collection of partly available machines, with on-line restarts.",Efficient LL(1) Error Correction and Recovery Using Only Insertions.
468,"Running a job on a collection of partly available machines, with on-line restarts.",Compositional Refinements in Multiple Blackboard Systems.
469,"Running a job on a collection of partly available machines, with on-line restarts.",Domain Independence and the Relational Calculus.
470,Data Refinement by Calculation.,Weakly Context-Sensitive Languages as Model for Programming Languages.
471,Data Refinement by Calculation.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
472,Data Refinement by Calculation.,On the Look-Ahead Problem in Lexical Analysis.
473,Data Refinement by Calculation.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
474,Data Refinement by Calculation.,Concurrent Access to Data.
475,Data Refinement by Calculation.,Exponentially decreasing number of operations in balanced trees.
476,Data Refinement by Calculation.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
477,Data Refinement by Calculation.,Hex ist PSPACE-vollständig.
478,Data Refinement by Calculation.,Disjunctivity and other properties of sets of pseudo-bordered words.
479,Data Refinement by Calculation.,Dispatcher Primitives for the Construction of Operating System Kernels.
480,Data Refinement by Calculation.,Contextual Nets.
481,Program Refinement in Fair Transition Systems.,Another Polynomial Homomorphism.
482,Program Refinement in Fair Transition Systems.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
483,Program Refinement in Fair Transition Systems.,Recursive Petri nets.
484,Program Refinement in Fair Transition Systems.,Representation and uniformization of algebraic transductions.
485,Program Refinement in Fair Transition Systems.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
486,Program Refinement in Fair Transition Systems.,On the Look-Ahead Problem in Lexical Analysis.
487,Program Refinement in Fair Transition Systems.,On weighted first-order logics with discounting.
488,Program Refinement in Fair Transition Systems.,On regular tree languages and deterministic pushdown automata.
489,Program Refinement in Fair Transition Systems.,The Programming Language Pascal.
490,Program Refinement in Fair Transition Systems.,Inhibitionsfelder.
491,Program Refinement in Fair Transition Systems.,Lazy Structure Sharing for Query Optimization.
492,Program Refinement in Fair Transition Systems.,Concurrent Access to Data.
493,Program Refinement in Fair Transition Systems.,Stochastic cooperative distributed grammar systems and random graphs.
494,Program Refinement in Fair Transition Systems.,Performance Evaluation of Fork and Join Synchronization Primitives.
495,Program Refinement in Fair Transition Systems.,Some properties of the disjunctive languages contained in 
496,Program Refinement in Fair Transition Systems.,Optimal Multiprogramming.
497,Program Refinement in Fair Transition Systems.,The Lattice of Data Refinement.
498,Program Refinement in Fair Transition Systems.,On the Power of Chain Rules in Context Free Grammars.
499,Program Refinement in Fair Transition Systems.,A characterization of rational D0L power series.
500,Program Refinement in Fair Transition Systems.,Equational weighted tree transformations.
501,Program Refinement in Fair Transition Systems.,Merged processes: a new condensed representation of Petri net behaviour.
502,Program Refinement in Fair Transition Systems.,Calculi for Interaction.
503,Program Refinement in Fair Transition Systems.,On an Equivalence between Continuation and Stack Semantics.
504,Program Refinement in Fair Transition Systems.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
505,Program Refinement in Fair Transition Systems.,Automatic verification of concurrent systems using a formula-based compositional approach.
506,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Probabilistic bisimulation for realistic schedulers.
507,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,State complexity of deletion and bipolar deletion.
508,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Gobang ist PSPACE-vollständig.
509,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
510,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
511,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Hierarchies of Complete Problems.
512,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Stochastic cooperative distributed grammar systems and random graphs.
513,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Performance Evaluation of Fork and Join Synchronization Primitives.
514,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,MAT learners for tree series: an abstract data type and two realizations.
515,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Correctness of the Compiling Process Based on Axiomatic Semantics.
516,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Trace- and failure-based semantics for responsiveness.
517,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
518,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Hex ist PSPACE-vollständig.
519,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.,Computational Algorithms for Networks of Queues with Rejection Blocking.
520,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Instruction sequence processing operators.
521,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
522,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Hierarchies of Complete Problems.
523,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
524,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.
525,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Parallel Integer Sorting Using Small Operations.
526,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",A first step in characterizing three-element codes.
527,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Merged processes: a new condensed representation of Petri net behaviour.
528,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",The Expressive Power of Delay Operators in SCCS.
529,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",A Synthesis of Several Sorting Algorithms.
530,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Disjunctivity and other properties of sets of pseudo-bordered words.
531,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages.",Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
532,On the Look-Ahead Problem in Lexical Analysis.,Special issue: Synthesis and SYNT 2014.
533,On the Look-Ahead Problem in Lexical Analysis.,Infinite Proof Rules for Loops.
534,On the Look-Ahead Problem in Lexical Analysis.,Ein Vollständigkeitssatz für Programme und Schaltkreise.
535,On the Look-Ahead Problem in Lexical Analysis.,Recognizability of graph and pattern languages.
536,On the Look-Ahead Problem in Lexical Analysis.,Inhibitionsfelder.
537,On the Look-Ahead Problem in Lexical Analysis.,Exponentially decreasing number of operations in balanced trees.
538,On the Look-Ahead Problem in Lexical Analysis.,Formal Derivation of Strongly Correct Concurrent Programs.
539,On the Look-Ahead Problem in Lexical Analysis.,Calculi for Interaction.
540,On the Look-Ahead Problem in Lexical Analysis.,A Synthesis of Several Sorting Algorithms.
541,On the Look-Ahead Problem in Lexical Analysis.,A theory of structural stationarity in the 
542,On the Look-Ahead Problem in Lexical Analysis.,On an Equivalence between Continuation and Stack Semantics.
543,On the Look-Ahead Problem in Lexical Analysis.,Eliminating Unit Productions from LR Parsers.
544,A theory of formal synthesis via inductive learning.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
545,A theory of formal synthesis via inductive learning.,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
546,A theory of formal synthesis via inductive learning.,Automatic verification of concurrent systems using a formula-based compositional approach.
547,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,On the Synchronization in Parallel Communicating Grammar Systems.
548,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Weakly Context-Sensitive Languages as Model for Programming Languages.
549,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,The Construction of Operator Interfaces Based on Logical Input Devices.
550,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
551,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,"Running a job on a collection of partly available machines, with on-line restarts."
552,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Data Refinement by Calculation.
553,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Hierarchies of Complete Problems.
554,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,A Binary Operation on Trees and an Initial Algebra Characterization for Finite Tree Types.
555,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Parallel Integer Sorting Using Small Operations.
556,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Some properties of the disjunctive languages contained in 
557,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,"Another Look at the ""Longest Ascending Subsequence"" Problem."
558,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
559,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
560,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,"Invariants, Composition, and Substitution."
561,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Maximum Entropy and the 
562,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,On an Equivalence between Continuation and Stack Semantics.
563,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
564,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Computational Algorithms for Networks of Queues with Rejection Blocking.
565,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,The Parsing Problem for Affix Grammars.
566,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Inductive Completion with Retracts.
567,The maximum gain of increasing the number of preemptions in multiprocessor scheduling.,Dispatcher Primitives for the Construction of Operating System Kernels.
568,Data Encodings and Their Costs.,Bounded Quantification and Relations Recognizable by Finite Automata.
569,Data Encodings and Their Costs.,What is Failure? An Approach to Constructive Negation.
570,Data Encodings and Their Costs.,Special issue: Synthesis and SYNT 2014.
571,Data Encodings and Their Costs.,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.
572,Data Encodings and Their Costs.,Synchronized regular expressions.
573,Data Encodings and Their Costs.,Trace Nets and Process Automata.
574,Data Encodings and Their Costs.,Generation of Efficient 
575,Data Encodings and Their Costs.,Stochastic cooperative distributed grammar systems and random graphs.
576,Data Encodings and Their Costs.,"Another Look at the ""Longest Ascending Subsequence"" Problem."
577,Data Encodings and Their Costs.,Complexity Theory and the Operational Structure of Algebraic Programming Systems.
578,Data Encodings and Their Costs.,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
579,Data Encodings and Their Costs.,On the Power of Chain Rules in Context Free Grammars.
580,Data Encodings and Their Costs.,A Synthesis of Several Sorting Algorithms.
581,Data Encodings and Their Costs.,A Workload Model Representative of Static and Dynamic Characteristics.
582,Data Encodings and Their Costs.,Hex ist PSPACE-vollständig.
583,Data Encodings and Their Costs.,On Removing the Machine from the Language.
584,Data Encodings and Their Costs.,The Parsing Problem for Affix Grammars.
585,Data Encodings and Their Costs.,On Efficient Entreeings.
586,Data Encodings and Their Costs.,Functional Behavior in Data Spaces.
587,Data Encodings and Their Costs.,Complete Parameterized Families of Job Scheduling Strategies.
588,Data Encodings and Their Costs.,Modelling higher-order dual nondeterminacy.
589,Data Encodings and Their Costs.,Domain Independence and the Relational Calculus.
590,Hierarchies of Complete Problems.,A Synthesis of Several Sorting Algorithms.
591,Type-based information flow analysis for the pi-calculus.,A Complete Algebraic Characterization of Behavioral Subtyping.
592,Type-based information flow analysis for the pi-calculus.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
593,Type-based information flow analysis for the pi-calculus.,Quad Trees: A Data Structure for Retrieval on Composite Keys.
594,Type-based information flow analysis for the pi-calculus.,Another Polynomial Homomorphism.
595,Type-based information flow analysis for the pi-calculus.,Special issue: Synthesis and SYNT 2014.
596,Type-based information flow analysis for the pi-calculus.,High Level Tree Transducers and Iterated Pushdown Tree Transducers.
597,Type-based information flow analysis for the pi-calculus.,Concurrent Bisimulations in Petri Nets.
598,Type-based information flow analysis for the pi-calculus.,Nonfinite Axiomatizability of the Equational Theory of Shuffle.
599,Type-based information flow analysis for the pi-calculus.,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.
600,Type-based information flow analysis for the pi-calculus.,Recognizability of graph and pattern languages.
601,Type-based information flow analysis for the pi-calculus.,A Modal Logic for Message Passing Processes.
602,Type-based information flow analysis for the pi-calculus.,Some properties of the disjunctive languages contained in 
603,Type-based information flow analysis for the pi-calculus.,A new natural structural congruence in the pi-calculus with replication.
604,Type-based information flow analysis for the pi-calculus.,Branching Processes in the Analysis of the Heights of Trees.
605,Type-based information flow analysis for the pi-calculus.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
606,Type-based information flow analysis for the pi-calculus.,Compositional Refinements in Multiple Blackboard Systems.
607,Type-based information flow analysis for the pi-calculus.,Best Huffman Trees.
608,Type-based information flow analysis for the pi-calculus.,Applying relation algebra and Rel View to solve problems on orders and lattices.
609,Type-based information flow analysis for the pi-calculus.,On Parallel Integer Sorting.
610,Sur une Conjecture de S. Greibach.,On the Synchronization in Parallel Communicating Grammar Systems.
611,Sur une Conjecture de S. Greibach.,Weakly Context-Sensitive Languages as Model for Programming Languages.
612,Sur une Conjecture de S. Greibach.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
613,Sur une Conjecture de S. Greibach.,Concurrent Bisimulations in Petri Nets.
614,Sur une Conjecture de S. Greibach.,Extended multi bottom-up tree transducers.
615,Sur une Conjecture de S. Greibach.,Algorithms for Fast Evaluation of Boolean Expressions.
616,Sur une Conjecture de S. Greibach.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
617,Sur une Conjecture de S. Greibach.,Parallel Integer Sorting Using Small Operations.
618,Sur une Conjecture de S. Greibach.,Exponentially decreasing number of operations in balanced trees.
619,Sur une Conjecture de S. Greibach.,Paramodulated Connection Graphs.
620,Sur une Conjecture de S. Greibach.,Parallel Integer Sorting and Simulation Amongst CRCW Models.
621,Sur une Conjecture de S. Greibach.,Branching Processes in the Analysis of the Heights of Trees.
622,Sur une Conjecture de S. Greibach.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
623,Sur une Conjecture de S. Greibach.,"Invariants, Composition, and Substitution."
624,Sur une Conjecture de S. Greibach.,A Note on the Density of Inherently Ambiguous Context-free Languages.
625,Sur une Conjecture de S. Greibach.,Automatic verification of concurrent systems using a formula-based compositional approach.
626,Sur une Conjecture de S. Greibach.,On Removing the Machine from the Language.
627,Sur une Conjecture de S. Greibach.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
628,Sur une Conjecture de S. Greibach.,Attribute (Re)evaluation in OPTRAN.
629,A Conservation Law for G/G/m Queueing Systems.,Special issue: Synthesis and SYNT 2014.
630,A Conservation Law for G/G/m Queueing Systems.,On the Synchronization in Parallel Communicating Grammar Systems.
631,A Conservation Law for G/G/m Queueing Systems.,Multitype Multiprogramming Models.
632,A Conservation Law for G/G/m Queueing Systems.,The Clean Termination of Iterative Programs.
633,A Conservation Law for G/G/m Queueing Systems.,A Comparison of Two Synchronizing Concepts.
634,A Conservation Law for G/G/m Queueing Systems.,Reasoning Algebraically about Loops.
635,A Conservation Law for G/G/m Queueing Systems.,The Lattice of Data Refinement.
636,A Conservation Law for G/G/m Queueing Systems.,Formal Derivation of Strongly Correct Concurrent Programs.
637,A Conservation Law for G/G/m Queueing Systems.,A Three-Stage Construction for Multiconnection Networks.
638,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,What is Failure? An Approach to Constructive Negation.
639,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,STG decomposition strategies in combination with unfolding.
640,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Regular and context-free nominal traces.
641,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Extended multi bottom-up tree transducers.
642,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Ein Vollständigkeitssatz für Programme und Schaltkreise.
643,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Sur une Conjecture de S. Greibach.
644,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Context-Free Graph Grammars and Concatenation of Graphs.
645,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,A Comparison of Two Synchronizing Concepts.
646,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
647,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,A new natural structural congruence in the pi-calculus with replication.
648,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Complexity Theory and the Operational Structure of Algebraic Programming Systems.
649,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Backtracking in Recursive Computations.
650,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Efficient LL(1) Error Correction and Recovery Using Only Insertions.
651,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Pattern Matching in Trees and Nets.
652,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Gray visiting Motzkins.
653,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
654,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.,Complete Parameterized Families of Job Scheduling Strategies.
655,Context-Free Graph Grammars and Concatenation of Graphs.,What is Failure? An Approach to Constructive Negation.
656,Context-Free Graph Grammars and Concatenation of Graphs.,Rules of Inference for Procedure Calls.
657,Context-Free Graph Grammars and Concatenation of Graphs.,High Level Tree Transducers and Iterated Pushdown Tree Transducers.
658,Context-Free Graph Grammars and Concatenation of Graphs.,Concurrent Bisimulations in Petri Nets.
659,Context-Free Graph Grammars and Concatenation of Graphs.,State space axioms for T-systems.
660,Context-Free Graph Grammars and Concatenation of Graphs.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
661,Context-Free Graph Grammars and Concatenation of Graphs.,Reasoning Algebraically about Loops.
662,Context-Free Graph Grammars and Concatenation of Graphs.,A new natural structural congruence in the pi-calculus with replication.
663,Context-Free Graph Grammars and Concatenation of Graphs.,Transformational Design of Real-Time Systems Part I: From Requirements to Program Specifications.
664,Context-Free Graph Grammars and Concatenation of Graphs.,On the Power of Chain Rules in Context Free Grammars.
665,Context-Free Graph Grammars and Concatenation of Graphs.,Merged processes: a new condensed representation of Petri net behaviour.
666,Context-Free Graph Grammars and Concatenation of Graphs.,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
667,Context-Free Graph Grammars and Concatenation of Graphs.,"Invariants, Composition, and Substitution."
668,Context-Free Graph Grammars and Concatenation of Graphs.,Best Huffman Trees.
669,Context-Free Graph Grammars and Concatenation of Graphs.,Functional Behavior in Data Spaces.
670,Context-Free Graph Grammars and Concatenation of Graphs.,Complete Parameterized Families of Job Scheduling Strategies.
671,Context-Free Graph Grammars and Concatenation of Graphs.,Dispatcher Primitives for the Construction of Operating System Kernels.
672,Context-Free Graph Grammars and Concatenation of Graphs.,Domain Independence and the Relational Calculus.
673,On a Class of Recursive Procedures and Equivalent Iterative Ones.,Weakly Context-Sensitive Languages as Model for Programming Languages.
674,On a Class of Recursive Procedures and Equivalent Iterative Ones.,A Comparison of Two Synchronizing Concepts.
675,On a Class of Recursive Procedures and Equivalent Iterative Ones.,How to Calculate Symmetries of Petri Nets.
676,On a Class of Recursive Procedures and Equivalent Iterative Ones.,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.
677,On a Class of Recursive Procedures and Equivalent Iterative Ones.,Some properties of the disjunctive languages contained in 
678,On a Class of Recursive Procedures and Equivalent Iterative Ones.,NP-complete Problems Simplified on Tree Schemas.
679,On a Class of Recursive Procedures and Equivalent Iterative Ones.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
680,On a Class of Recursive Procedures and Equivalent Iterative Ones.,Attribute (Re)evaluation in OPTRAN.
681,Algorithms for Fast Evaluation of Boolean Expressions.,A Comparison of Two Synchronizing Concepts.
682,Algorithms for Fast Evaluation of Boolean Expressions.,Performance Evaluation of Fork and Join Synchronization Primitives.
683,Algorithms for Fast Evaluation of Boolean Expressions.,A Note on the Density of Inherently Ambiguous Context-free Languages.
684,A general account of coinduction up-to.,A general account of coinduction up-to.
685,A general account of coinduction up-to.,Concurrent Access to Data.
686,A general account of coinduction up-to.,Performance Preorder and Competitive Equivalence.
687,A Comparison of Two Synchronizing Concepts.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
688,A Comparison of Two Synchronizing Concepts.,Performance Evaluation of Fork and Join Synchronization Primitives.
689,A Comparison of Two Synchronizing Concepts.,"Invariants, Composition, and Substitution."
690,A Comparison of Two Synchronizing Concepts.,Eliminating Unit Productions from LR Parsers.
691,How to Calculate Symmetries of Petri Nets.,Ein Vollständigkeitssatz für Programme und Schaltkreise.
692,How to Calculate Symmetries of Petri Nets.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
693,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",Quad Trees: A Data Structure for Retrieval on Composite Keys.
694,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",Another Polynomial Homomorphism.
695,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",Variance Reduction Techniques for the Simulation of Markov Process.
696,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",Representation and uniformization of algebraic transductions.
697,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",A Conservation Law for G/G/m Queueing Systems.
698,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",The Synthesis Problem of Petri Nets.
699,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.
700,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",Head and state hierarchies for unary multi-head finite automata.
701,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",A Markovian queue with varying number of servers and applications to the performance comparison of HSDPA user equipment.
702,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",A new natural structural congruence in the pi-calculus with replication.
703,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.","Another Look at the ""Longest Ascending Subsequence"" Problem."
704,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.","Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
705,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",A first step in characterizing three-element codes.
706,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",Pattern Matching in Trees and Nets.
707,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",A Workload Model Representative of Static and Dynamic Characteristics.
708,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.","Invariants, Composition, and Substitution."
709,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.","Special issue on ""Combining Compositionality and Concurrency"": part 1."
710,"Nonterminals, Homomorphisms and Codings in Different Variations of OL-Systems. I. Deterministic Systems.",Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
711,Recognizability of graph and pattern languages.,Concurrent Bisimulations in Petri Nets.
712,Recognizability of graph and pattern languages.,A theory of formal synthesis via inductive learning.
713,Recognizability of graph and pattern languages.,How to Calculate Symmetries of Petri Nets.
714,Recognizability of graph and pattern languages.,A Note on the Density of Inherently Ambiguous Context-free Languages.
715,The Synthesis Problem of Petri Nets.,What is Failure? An Approach to Constructive Negation.
716,The Synthesis Problem of Petri Nets.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
717,The Synthesis Problem of Petri Nets.,State space axioms for T-systems.
718,The Synthesis Problem of Petri Nets.,"M-Nets: An Algebra of High-Level Petri Nets, with an Application to the Semantics of Concurrent Programming Languages."
719,The Synthesis Problem of Petri Nets.,On the Look-Ahead Problem in Lexical Analysis.
720,The Synthesis Problem of Petri Nets.,A Comparison of Two Synchronizing Concepts.
721,The Synthesis Problem of Petri Nets.,Recognizability of graph and pattern languages.
722,The Synthesis Problem of Petri Nets.,Metric propositional neighborhood logic with an equivalence relation.
